dataset,target,assessor,arm,k,n,n_sel,base,prec,lift,recall
hotpotqa,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,cross,20,2375,475,0.9865,1.0000,1.0137,0.2027
hotpotqa,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,cross,30,2375,712,0.9865,1.0000,1.0137,0.3039
hotpotqa,Phi-4-mini-instruct,Phi-4-mini-instruct,self,5,1885,94,0.9841,1.0000,1.0162,0.0507
hotpotqa,Phi-4-mini-instruct,Phi-4-mini-instruct,self,10,1885,188,0.9841,1.0000,1.0162,0.1013
hotpotqa,Phi-4-mini-instruct,Phi-4-mini-instruct,self,20,1885,377,0.9841,0.9973,1.0135,0.2027
hotpotqa,Phi-4-mini-instruct,Phi-4-mini-instruct,self,30,1885,566,0.9841,0.9965,1.0126,0.3040
hotpotqa,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,cross,5,1885,94,0.9841,0.9787,0.9946,0.0496
hotpotqa,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,cross,10,1885,188,0.9841,0.9894,1.0054,0.1003
hotpotqa,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,cross,20,1885,377,0.9841,0.9867,1.0027,0.2005
hotpotqa,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,cross,30,1885,566,0.9841,0.9894,1.0054,0.3019
hotpotqa,Phi-4-mini-instruct,gemma-3-4b-it,cross,5,1885,94,0.9841,0.9681,0.9837,0.0491
hotpotqa,Phi-4-mini-instruct,gemma-3-4b-it,cross,10,1885,188,0.9841,0.9574,0.9729,0.0970
hotpotqa,Phi-4-mini-instruct,gemma-3-4b-it,cross,20,1885,377,0.9841,0.9576,0.9730,0.1946
hotpotqa,Phi-4-mini-instruct,gemma-3-4b-it,cross,30,1885,566,0.9841,0.9647,0.9803,0.2943
hotpotqa,Phi-4-mini-instruct,Qwen3.6-35B-A3B,cross,5,1885,94,0.9841,1.0000,1.0162,0.0507
hotpotqa,Phi-4-mini-instruct,Qwen3.6-35B-A3B,cross,10,1885,188,0.9841,1.0000,1.0162,0.1013
hotpotqa,Phi-4-mini-instruct,Qwen3.6-35B-A3B,cross,20,1885,377,0.9841,1.0000,1.0162,0.2032
hotpotqa,Phi-4-mini-instruct,Qwen3.6-35B-A3B,cross,30,1885,566,0.9841,1.0000,1.0162,0.3051
hotpotqa,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,cross,5,1885,95,0.9841,1.0000,1.0162,0.0512
hotpotqa,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,cross,10,1885,189,0.9841,1.0000,1.0162,0.1019
hotpotqa,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,cross,20,1885,377,0.9841,0.9973,1.0135,0.2027
hotpotqa,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,cross,30,1885,566,0.9841,0.9982,1.0144,0.3046
hotpotqa,Qwen3.5-4B,Qwen3.5-4B,self,5,1375,69,0.8778,0.9855,1.1227,0.0563
hotpotqa,Qwen3.5-4B,Qwen3.5-4B,self,10,1375,138,0.8778,0.9928,1.1309,0.1135
hotpotqa,Qwen3.5-4B,Qwen3.5-4B,self,20,1375,275,0.8778,0.9891,1.1268,0.2254
hotpotqa,Qwen3.5-4B,Qwen3.5-4B,self,30,1375,412,0.8778,0.9830,1.1198,0.3355
hotpotqa,Qwen3.5-9B,Qwen3.5-9B,self,5,1309,65,0.8625,1.0000,1.1594,0.0576
hotpotqa,Qwen3.5-9B,Qwen3.5-9B,self,10,1309,131,0.8625,1.0000,1.1594,0.1160
hotpotqa,Qwen3.5-9B,Qwen3.5-9B,self,20,1309,262,0.8625,0.9962,1.1550,0.2312
hotpotqa,Qwen3.5-9B,Qwen3.5-9B,self,30,1309,393,0.8625,0.9873,1.1447,0.3437
hotpotqa,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,self,5,1114,56,0.8034,1.0000,1.2447,0.0626
hotpotqa,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,self,10,1114,111,0.8034,1.0000,1.2447,0.1240
hotpotqa,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,self,20,1114,223,0.8034,0.9955,1.2391,0.2480
hotpotqa,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,self,30,1114,334,0.8034,0.9910,1.2335,0.3698
hotpotqa,Qwen3.6-35B-A3B,Phi-4-mini-instruct,cross,5,1114,56,0.8034,1.0000,1.2447,0.0626
hotpotqa,Qwen3.6-35B-A3B,Phi-4-mini-instruct,cross,10,1114,111,0.8034,1.0000,1.2447,0.1240
hotpotqa,Qwen3.6-35B-A3B,Phi-4-mini-instruct,cross,20,1114,223,0.8034,1.0000,1.2447,0.2492
hotpotqa,Qwen3.6-35B-A3B,Phi-4-mini-instruct,cross,30,1114,334,0.8034,0.9970,1.2410,0.3721
hotpotqa,Qwen3.6-35B-A3B,gemma-3-4b-it,cross,5,1114,56,0.8034,0.5357,0.6668,0.0335
hotpotqa,Qwen3.6-35B-A3B,gemma-3-4b-it,cross,10,1114,111,0.8034,0.4955,0.6167,0.0615
hotpotqa,Qwen3.6-35B-A3B,gemma-3-4b-it,cross,20,1114,223,0.8034,0.5471,0.6810,0.1363
hotpotqa,Qwen3.6-35B-A3B,gemma-3-4b-it,cross,30,1114,334,0.8034,0.5629,0.7006,0.2101
hotpotqa,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,cross,5,1114,56,0.8034,0.9643,1.2002,0.0603
hotpotqa,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,cross,10,1114,111,0.8034,0.9730,1.2111,0.1207
