dataset,target,assessor,arm,n_inc,n_cor,mu_inc,mu_cor,gap,level,sd,thr,bal_acc
hotpotqa,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,cross,981,182,0.3197,0.0681,0.2515,0.2803,0.2873,0.0373,0.7762
hotpotqa,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,cross,981,182,0.5485,0.1290,0.4195,0.4828,0.3425,0.3208,0.7955
hotpotqa,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,cross,981,182,0.0193,0.0186,0.0007,0.0192,0.0942,0.0000,0.7750
hotpotqa,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,self,2343,32,0.0364,0.0212,0.0152,0.0362,0.1392,0.0000,0.8476
hotpotqa,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,cross,2343,32,0.0553,0.2189,-0.1636,0.0575,0.2239,1.0000,0.5009
hotpotqa,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,cross,2343,32,0.2701,0.0520,0.2181,0.2672,0.2714,0.0180,0.8575
hotpotqa,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,cross,2343,32,0.8286,0.1032,0.7255,0.8189,0.2570,0.4368,0.9372
hotpotqa,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,cross,2343,32,0.6241,0.0000,0.6241,0.6157,0.4653,0.0000,0.9067
hotpotqa,Phi-4-mini-instruct,Phi-4-mini-instruct,self,1855,30,0.2483,0.0703,0.1780,0.2454,0.2878,0.0759,0.7105
hotpotqa,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,cross,1855,30,0.6708,0.1413,0.5294,0.6623,0.4534,0.0110,0.7908
hotpotqa,Phi-4-mini-instruct,gemma-3-4b-it,cross,1855,30,0.1307,0.3673,-0.2366,0.1344,0.3345,0.9999,0.5143
hotpotqa,Phi-4-mini-instruct,Qwen3.6-35B-A3B,cross,1855,30,0.8170,0.2331,0.5840,0.8077,0.2841,0.7518,0.8527
hotpotqa,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,cross,1855,30,0.0699,0.0600,0.0099,0.0698,0.2214,0.0000,0.6925
hotpotqa,Qwen3.5-4B,Qwen3.5-4B,self,1207,168,0.3365,0.0804,0.2561,0.3052,0.2715,0.0675,0.7856
