env,judge,dropped,at_target,swing_pts
alfworld,Qwen3.6-35B-A3B,deepseek-v4-flash,Mistral-7B-Instruct-v0.3,0.4714
alfworld,Qwen3.6-35B-A3B,deepseek-v4-flash,Phi-4-mini-instruct,0.3753
alfworld,Qwen3.6-35B-A3B,deepseek-v4-flash,Qwen3.6-35B-A3B,6.6016
alfworld,Qwen3.6-35B-A3B,deepseek-v4-flash,gemma-3-4b-it,0.6296
alfworld,Qwen3.6-35B-A3B,gemma-3-4b-it,Llama-3.3-70B-Instruct,0.9464
alfworld,Qwen3.6-35B-A3B,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,1.7811
alfworld,Qwen3.6-35B-A3B,gemma-3-4b-it,Phi-4-mini-instruct,2.1013
alfworld,Qwen3.6-35B-A3B,gemma-3-4b-it,Qwen3.6-35B-A3B,0.5368
alfworld,Qwen3.6-35B-A3B,gemma-3-4b-it,deepseek-v4-flash,0.2676
hotpotqa,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,0.0160
hotpotqa,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,0.0512
hotpotqa,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,0.8685
hotpotqa,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,gemma-3-4b-it,0.1720
hotpotqa,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,0.0085
hotpotqa,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,0.3594
hotpotqa,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,0.0826
hotpotqa,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,0.2941
hotpotqa,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,0.0822
hotpotqa,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,1.0884
hotpotqa,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,Qwen3.6-35B-A3B,0.1024
hotpotqa,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,gemma-3-4b-it,0.8352
hotpotqa,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,1.2059
hotpotqa,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,0.2165
hotpotqa,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,Phi-4-mini-instruct,0.0886
hotpotqa,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,gemma-3-4b-it,0.1415
hotpotqa,Llama-3.3-70B-Instruct,gemma-3-4b-it,Llama-3.3-70B-Instruct,0.1668
hotpotqa,Llama-3.3-70B-Instruct,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,0.5378
hotpotqa,Llama-3.3-70B-Instruct,gemma-3-4b-it,Phi-4-mini-instruct,0.5044
hotpotqa,Llama-3.3-70B-Instruct,gemma-3-4b-it,Qwen3.6-35B-A3B,0.0988
hotpotqa,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,0.0008
hotpotqa,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,0.0018
hotpotqa,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,0.0120
hotpotqa,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,gemma-3-4b-it,0.0036
hotpotqa,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,0.0739
hotpotqa,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,0.9611
hotpotqa,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,0.3197
hotpotqa,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,0.7328
hotpotqa,Qwen3.6-35B-A3B,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,0.1431
