dataset,assessor,target,arm,capable,n,n_ep,n_pool_targets,base,V,S_LOTO_raw,S_LOTO_quantile,S_fitted,S_LOTO_raw_macro,S_LOTO_quantile_macro,cut_pool,pct_pool
hotpotqa,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,cross,yes,1114,499,4,0.8034,0.5648,0.6783,0.7335,0.7813,0.6733,0.7209,0.0000,19.9972
hotpotqa,Llama-3.3-70B-Instruct,gemma-3-4b-it,cross,yes,1658,500,4,0.9367,0.7546,0.7690,0.7664,0.7390,0.7692,0.7704,0.0000,20.5599
hotpotqa,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,cross,no,1163,496,4,0.8435,0.5000,0.8158,0.7578,0.8227,0.8164,0.8057,0.0000,19.6957
hotpotqa,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,self,no,2375,499,4,0.9865,0.5011,0.8636,0.8578,0.8379,0.8694,0.8414,0.0000,26.2887
hotpotqa,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,cross,no,1885,499,4,0.9841,0.5054,0.7602,0.7876,0.7804,0.7884,0.7988,0.0000,23.3914
hotpotqa,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,cross,no,1114,499,4,0.8034,0.5000,0.8496,0.7426,0.8561,0.8438,0.7978,0.0000,19.9548
hotpotqa,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,cross,no,1658,500,4,0.9367,0.5000,0.8815,0.8658,0.8763,0.8535,0.8586,0.0000,21.9826
hotpotqa,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,cross,no,1163,496,4,0.8435,0.5913,0.7837,0.7463,0.8073,0.7870,0.7880,0.0141,15.0313
hotpotqa,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,cross,no,2375,499,4,0.9865,0.5492,0.8988,0.8571,0.8967,0.8957,0.8223,0.0141,20.1890
hotpotqa,Phi-4-mini-instruct,Phi-4-mini-instruct,self,no,1885,499,4,0.9841,0.5491,0.7917,0.7885,0.7859,0.7812,0.7941,0.0141,16.5610
hotpotqa,Phi-4-mini-instruct,Qwen3.6-35B-A3B,cross,no,1114,499,4,0.8034,0.5168,0.8719,0.7049,0.8698,0.8531,0.7807,0.0141,13.6704
hotpotqa,Phi-4-mini-instruct,gemma-3-4b-it,cross,no,1658,500,4,0.9367,0.5489,0.8969,0.8999,0.8973,0.8797,0.8745,0.0141,15.5729
hotpotqa,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,cross,yes,1163,496,4,0.8435,0.7824,0.8070,0.7383,0.7906,0.7921,0.7812,0.2942,16.9937
hotpotqa,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,cross,yes,2375,499,4,0.9865,0.9227,0.8789,0.8653,0.8795,0.8984,0.8378,0.2942,24.8110
hotpotqa,Qwen3.6-35B-A3B,Phi-4-mini-instruct,cross,yes,1885,499,4,0.9841,0.8004,0.8211,0.8105,0.7719,0.8163,0.8244,0.2942,22.2662
hotpotqa,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,self,yes,1114,499,4,0.8034,0.7020,0.7226,0.7249,0.8133,0.7099,0.7565,0.4372,19.1075
hotpotqa,Qwen3.6-35B-A3B,gemma-3-4b-it,cross,yes,1658,500,4,0.9367,0.8396,0.8279,0.8357,0.8401,0.8480,0.8273,0.2942,19.9480
hotpotqa,gemma-3-4b-it,Llama-3.3-70B-Instruct,cross,no,1163,496,4,0.8435,0.4786,0.6748,0.6363,0.6787,0.6583,0.6805,0.0000,17.1359
hotpotqa,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,cross,no,2375,499,4,0.9865,0.4368,0.6707,0.6985,0.7263,0.6622,0.6922,0.0000,23.3505
hotpotqa,gemma-3-4b-it,Phi-4-mini-instruct,cross,no,1885,499,4,0.9841,0.4638,0.6780,0.6650,0.6555,0.6694,0.6695,0.0000,20.8399
hotpotqa,gemma-3-4b-it,Qwen3.6-35B-A3B,cross,no,1114,499,4,0.8034,0.4999,0.6831,0.7109,0.7194,0.6980,0.7101,0.0000,26.4228
hotpotqa,gemma-3-4b-it,gemma-3-4b-it,self,no,1658,500,4,0.9367,0.4970,0.7369,0.7315,0.7602,0.7308,0.7489,0.0000,20.4681
