dataset,assessor,target,arm,capable,n,n_ep,n_pool_targets,parse_rate,g_degenerate,base,mean_u,p_hat,V,S_LOTO_raw,S_LOTO_quantile,S_g_quantile,S_oracle_pct,S_mid_gap,S_fitted,req_pct_quant,req_pct_g,req_pct_oracle,realized_flag_V,realized_flag_raw,realized_flag_quant,realized_flag_g,realized_flag_oracle,realized_flag_gap,gap_width,gap_mid,mass_extremes
alfworld,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,cross,yes,4492,140,5,1.0000,0,0.8764,0.6773,0.8941,0.6518,0.6425,0.6510,0.6473,0.6546,0.6605,0.6483,27.4061,10.5856,12.3553,0.7075,0.6084,0.7260,0.8943,0.8764,0.8219,0.0186,0.2572,0.4844
alfworld,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,cross,yes,6321,140,5,1.0000,0,0.9631,0.8266,0.9409,0.6883,0.7231,0.7063,0.6342,0.5945,0.6709,0.7204,31.9506,5.9080,3.6861,0.8864,0.8117,0.6806,0.9410,0.9631,0.9128,0.0184,0.3904,0.6042
alfworld,Qwen3.6-35B-A3B,Phi-4-mini-instruct,cross,yes,6445,140,5,1.0000,0,0.9576,0.8820,0.9712,0.6192,0.6323,0.6199,0.5787,0.5926,0.6185,0.6245,34.1840,2.8756,4.2358,0.9280,0.8762,0.6582,0.9713,0.9576,0.9229,0.0162,0.5108,0.7324
alfworld,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,self,yes,3110,139,5,1.0000,0,0.7711,0.3925,0.8021,0.5864,0.5515,0.6522,0.6523,0.6603,0.5727,0.6301,26.8331,19.7947,22.8939,0.3791,0.1945,0.7318,0.8023,0.7711,0.3341,0.0186,0.5433,0.2945
alfworld,Qwen3.6-35B-A3B,deepseek-v4-flash,cross,yes,3016,120,5,1.0000,0,0.8286,0.4496,0.7927,0.6192,0.5682,0.6612,0.6679,0.6720,0.6179,0.6508,32.8770,20.7299,17.1419,0.4509,0.2135,0.6714,0.7928,0.8286,0.4314,0.0179,0.5089,0.2805
alfworld,Qwen3.6-35B-A3B,gemma-3-4b-it,cross,yes,6730,140,5,1.0000,0,0.9725,0.8961,0.9719,0.6192,0.6726,0.6706,0.5745,0.5720,0.6049,0.6874,33.8522,2.8122,2.7489,0.9453,0.9086,0.6615,0.9719,0.9725,0.9554,0.0227,0.3889,0.7449
alfworld,deepseek-v4-flash,deepseek-v4-flash,self,no,2150,90,0,1.0000,0,0.8567,0.4234,,0.6201,,,,0.6381,0.6227,0.6495,,,14.3256,0.4395,,,,0.8567,0.4116,0.0622,0.5311,0.6065
alfworld,gemma-3-4b-it,Llama-3.3-70B-Instruct,cross,no,4492,140,5,1.0000,0,0.8764,0.3599,0.9322,0.5559,0.5863,0.5846,0.5363,0.5662,0.5559,0.5918,25.3649,6.7831,12.3553,0.3593,0.7153,0.7464,0.9321,0.8764,0.3593,0.0622,0.4689,0.9421
alfworld,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,cross,no,6321,140,5,1.0000,0,0.9631,0.4410,0.9523,0.5110,0.5846,0.5643,0.5599,0.5499,0.5110,0.5766,28.3823,4.7704,3.6861,0.4419,0.8453,0.7162,0.9524,0.9631,0.4419,0.0622,0.4689,0.9475
alfworld,gemma-3-4b-it,Phi-4-mini-instruct,cross,no,6445,140,5,1.0000,0,0.9576,0.4640,0.9727,0.5057,0.5482,0.5394,0.5297,0.5276,0.5043,0.5181,28.7296,2.7272,4.2358,0.4652,0.8543,0.7128,0.9727,0.9576,0.4625,0.0622,0.5311,0.9463
