dataset,target,assessor,arm,scope,n,n_ep,n_verdict,say_inc,verdict,value_in,value_out,optimism,gain_out
hotpotqa,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,cross,AGG-true,1885,499,1885,0.0106,0.5054,0.8144,0.7804,0.0340,0.2751
hotpotqa,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,cross,AGG-true,1114,499,1114,0.0000,0.5000,0.8567,0.8561,0.0006,0.3561
hotpotqa,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,cross,AGG-true,1658,500,1658,0.0000,0.5000,0.8825,0.8763,0.0062,0.3763
hotpotqa,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,cross,AGG-true,1163,496,1163,0.1651,0.5913,0.8238,0.8073,0.0165,0.2160
hotpotqa,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,cross,AGG-true,2375,499,2375,0.1284,0.5492,0.9132,0.8967,0.0164,0.3475
hotpotqa,Phi-4-mini-instruct,Phi-4-mini-instruct,self,AGG-true,1885,499,1885,0.0966,0.5491,0.8102,0.7859,0.0243,0.2368
hotpotqa,Qwen3.6-35B-A3B,Phi-4-mini-instruct,cross,AGG-true,1114,499,1114,0.0269,0.5168,0.8753,0.8698,0.0055,0.3531
hotpotqa,gemma-3-4b-it,Phi-4-mini-instruct,cross,AGG-true,1658,500,1658,0.0917,0.5489,0.9045,0.8973,0.0072,0.3484
hotpotqa,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,cross,AGG-true,1163,496,1163,0.5589,0.7824,0.8080,0.7906,0.0174,0.0082
hotpotqa,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,cross,AGG-true,2375,499,2375,0.8964,0.9227,0.9271,0.8795,0.0477,-0.0432
hotpotqa,Phi-4-mini-instruct,Qwen3.6-35B-A3B,cross,AGG-true,1885,499,1885,0.8578,0.8004,0.8268,0.7719,0.0549,-0.0284
hotpotqa,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,self,AGG-true,1114,499,1114,0.3429,0.7020,0.8157,0.8133,0.0025,0.1112
hotpotqa,gemma-3-4b-it,Qwen3.6-35B-A3B,cross,AGG-true,1658,500,1658,0.7696,0.8396,0.8490,0.8401,0.0089,0.0004
hotpotqa,Llama-3.3-70B-Instruct,gemma-3-4b-it,cross,AGG-true,1163,496,1163,0.0353,0.4786,0.6850,0.6787,0.0063,0.2001
hotpotqa,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,cross,AGG-true,2375,499,2375,0.0316,0.4368,0.7152,0.7263,-0.0111,0.2895
hotpotqa,Phi-4-mini-instruct,gemma-3-4b-it,cross,AGG-true,1885,499,1885,0.0621,0.4638,0.6814,0.6555,0.0259,0.1917
hotpotqa,Qwen3.6-35B-A3B,gemma-3-4b-it,cross,AGG-true,1114,499,1114,0.0135,0.4999,0.7285,0.7194,0.0092,0.2195
hotpotqa,gemma-3-4b-it,gemma-3-4b-it,self,AGG-true,1658,500,1658,0.0229,0.4970,0.7627,0.7602,0.0026,0.2632
