dataset,target,assessor,arm,scope,n,n_ep,n_verdict,say_inc,verdict,value_in,value_out,optimism,gain_out
hotpotqa,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,cross,AGG-true,2530,500,2530,0.0000,0.5000,0.6446,0.6411,0.0034,0.1411
hotpotqa,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,self,AGG-true,3224,500,3224,0.0025,0.5017,0.6374,0.6349,0.0026,0.1332
hotpotqa,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,cross,AGG-true,2716,500,2716,0.0092,0.5068,0.6449,0.6326,0.0123,0.1258
hotpotqa,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,cross,AGG-true,2192,500,2192,0.0000,0.5000,0.7143,0.7005,0.0138,0.2005
hotpotqa,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,cross,AGG-true,2565,500,2565,0.0000,0.5000,0.6622,0.6545,0.0077,0.1545
hotpotqa,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,cross,AGG-true,2530,500,2530,0.1344,0.5644,0.6524,0.6476,0.0048,0.0832
hotpotqa,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,cross,AGG-true,3224,500,3224,0.1241,0.5034,0.5284,0.5145,0.0139,0.0111
hotpotqa,Phi-4-mini-instruct,Phi-4-mini-instruct,self,AGG-true,2716,500,2716,0.0828,0.5147,0.5480,0.5308,0.0171,0.0161
hotpotqa,Qwen3.6-35B-A3B,Phi-4-mini-instruct,cross,AGG-true,2192,500,2192,0.0192,0.5098,0.5959,0.5619,0.0340,0.0521
hotpotqa,gemma-3-4b-it,Phi-4-mini-instruct,cross,AGG-true,2565,500,2565,0.0788,0.5232,0.5704,0.5625,0.0079,0.0392
hotpotqa,Qwen3.5-4B,Qwen3.5-4B,self,AGG-true,2371,500,2371,0.3501,0.7222,0.7466,0.7403,0.0064,0.0181
hotpotqa,Qwen3.5-9B,Qwen3.5-9B,self,AGG-true,2286,498,2286,0.1312,0.6191,0.7590,0.7414,0.0176,0.1223
hotpotqa,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,cross,AGG-true,2530,500,2530,0.4289,0.7595,0.7637,0.7609,0.0028,0.0014
hotpotqa,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,cross,AGG-true,3224,500,3224,0.7807,0.7154,0.7743,0.7709,0.0034,0.0555
hotpotqa,Phi-4-mini-instruct,Qwen3.6-35B-A3B,cross,AGG-true,2716,500,2716,0.7121,0.7919,0.8393,0.8355,0.0038,0.0436
hotpotqa,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,self,AGG-true,2192,500,2192,0.2235,0.7564,0.7976,0.7898,0.0078,0.0334
hotpotqa,gemma-3-4b-it,Qwen3.6-35B-A3B,cross,AGG-true,2565,500,2565,0.6222,0.8177,0.8468,0.8429,0.0039,0.0253
hotpotqa,Llama-3.3-70B-Instruct,gemma-3-4b-it,cross,AGG-true,2530,500,2530,0.0221,0.5123,0.6173,0.6034,0.0139,0.0911
hotpotqa,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,cross,AGG-true,3224,500,3224,0.0276,0.5074,0.6214,0.6152,0.0062,0.1078
hotpotqa,Phi-4-mini-instruct,gemma-3-4b-it,cross,AGG-true,2716,500,2716,0.0497,0.5335,0.6609,0.6554,0.0055,0.1219
hotpotqa,Qwen3.6-35B-A3B,gemma-3-4b-it,cross,AGG-true,2192,500,2192,0.0073,0.5062,0.6537,0.6330,0.0207,0.1268
hotpotqa,gemma-3-4b-it,gemma-3-4b-it,self,AGG-true,2565,500,2565,0.0203,0.5058,0.6811,0.6736,0.0075,0.1678
