dataset,assessor,target,arm,capable,n,n_ep,n_pool_targets,parse_rate,g_degenerate,base,mean_u,p_hat,V,S_LOTO_raw,S_LOTO_quantile,S_g_quantile,S_oracle_pct,S_mid_gap,S_fitted,req_pct_quant,req_pct_g,req_pct_oracle,realized_flag_V,realized_flag_raw,realized_flag_quant,realized_flag_g,realized_flag_oracle,realized_flag_gap,gap_width,gap_mid,mass_extremes
alfworld,Qwen3.5-4B,Qwen3.5-4B,self,no,4113,140,0,1.0000,0,0.5295,0.4228,,0.5809,,,,0.5877,0.5833,0.5849,,,47.0460,0.3973,,,,0.5295,0.3652,0.0305,0.5151,0.1279
alfworld,Qwen3.5-9B,Qwen3.5-9B,self,no,4265,140,0,1.0000,0,0.4605,0.2049,,0.5688,,,,0.6147,0.5688,0.6304,,,53.9508,0.1503,,,,0.4607,0.1503,0.0311,0.4842,0.5322
alfworld,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,cross,yes,4765,140,5,1.0000,0,0.5108,0.6693,0.6102,0.7440,0.8164,0.7790,0.7904,0.8161,0.6553,0.8230,36.7631,38.9765,48.9192,0.6988,0.4965,0.6325,0.6103,0.5108,0.8172,0.0186,0.2572,0.4714
alfworld,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,cross,yes,6482,140,5,1.0000,0,0.7546,0.8214,0.7441,0.6860,0.7779,0.7724,0.7761,0.7730,0.6527,0.7798,40.6772,25.5920,24.5449,0.8809,0.7117,0.5933,0.7441,0.7546,0.9081,0.0184,0.3904,0.5977
alfworld,Qwen3.6-35B-A3B,Phi-4-mini-instruct,cross,yes,6604,140,5,1.0000,0,0.7816,0.8801,0.8174,0.6356,0.7277,0.7265,0.7394,0.7436,0.6424,0.7484,40.6023,18.2586,21.8353,0.9263,0.8337,0.5940,0.8174,0.7816,0.9210,0.0162,0.5108,0.7286
alfworld,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,self,yes,3197,140,5,1.0000,0,0.3819,0.3914,0.2419,0.6284,0.5618,0.6465,0.6023,0.6301,0.6193,0.6637,35.3158,75.8103,61.8079,0.3769,0.1201,0.6469,0.2421,0.3822,0.3325,0.0186,0.5433,0.2947
alfworld,Qwen3.6-35B-A3B,deepseek-v4-flash,cross,yes,3304,120,5,1.0000,0,0.3308,0.4432,0.3895,0.7971,0.7029,0.7106,0.8003,0.7913,0.8004,0.7716,35.8718,61.0522,66.9189,0.4413,0.1840,0.6413,0.3895,0.3311,0.4213,0.0179,0.5089,0.2775
alfworld,Qwen3.6-35B-A3B,gemma-3-4b-it,cross,yes,6790,140,5,1.0000,0,0.8863,0.8945,0.7850,0.6946,0.7949,0.7799,0.8106,0.7742,0.6685,0.8114,44.4440,21.5047,11.3697,0.9434,0.8414,0.5557,0.7850,0.8863,0.9541,0.0227,0.3889,0.7424
alfworld,deepseek-v4-flash,deepseek-v4-flash,self,no,2322,90,0,1.0000,0,0.2976,0.4296,,0.6717,,,,0.6237,0.6611,0.6909,,,70.2412,0.4462,,,,0.2980,0.4177,0.0622,0.5311,0.5978
alfworld,gemma-3-4b-it,Llama-3.3-70B-Instruct,cross,no,4765,140,5,1.0000,0,0.5108,0.3584,0.7088,0.4738,0.5455,0.5478,0.5279,0.4936,0.4738,0.5356,20.1198,29.1166,48.9192,0.3576,0.7702,0.7987,0.7089,0.5108,0.3576,0.0622,0.4689,0.9425
alfworld,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,cross,no,6482,140,5,1.0000,0,0.7546,0.4427,0.7602,0.4229,0.5468,0.5074,0.5057,0.5035,0.4229,0.5486,23.0251,23.9762,24.5449,0.4437,0.8865,0.7698,0.7603,0.7546,0.4437,0.0622,0.4689,0.9471
alfworld,gemma-3-4b-it,Phi-4-mini-instruct,cross,no,6604,140,5,1.0000,0,0.7816,0.4666,0.7848,0.4429,0.5436,0.5141,0.5181,0.5182,0.4417,0.5437,23.0418,21.5213,21.8353,0.4676,0.8864,0.7697,0.7848,0.7816,0.4650,0.0622,0.5311,0.9453
