dataset,assessor,target,arm,capable,n,n_ep,n_pool_targets,base,V,S_LOTO_raw,S_LOTO_quantile,S_fitted,S_LOTO_raw_macro,S_LOTO_quantile_macro,cut_pool,pct_pool
alfworld,gemma-3-4b-it,deepseek-v4-flash,cross,no,3067,120,5,0.3384,0.4933,0.5485,0.5401,0.5228,0.5441,0.5334,0.0000,15.1245
alfworld,gemma-3-4b-it,gemma-3-4b-it,self,no,6507,140,5,0.9096,0.4192,0.5859,0.5709,0.5900,0.5987,0.5748,0.0000,21.1127
hotpotqa,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,self,yes,1878,472,4,0.1821,0.7452,0.7738,0.7904,0.8216,0.7452,0.7976,0.0953,51.6270
hotpotqa,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,cross,yes,2626,499,4,0.5613,0.8259,0.8137,0.7821,0.8300,0.8220,0.7880,0.0230,61.7572
hotpotqa,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,cross,yes,2282,490,4,0.5710,0.8592,0.8546,0.8148,0.8562,0.8580,0.8198,0.0293,59.8665
hotpotqa,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,cross,yes,1787,497,4,0.1058,0.6672,0.6960,0.7741,0.8123,0.6672,0.7826,0.0953,50.1218
hotpotqa,Llama-3.3-70B-Instruct,gemma-3-4b-it,cross,yes,2248,493,4,0.4800,0.8644,0.8635,0.8525,0.8632,0.8659,0.8472,0.0293,57.7044
hotpotqa,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,cross,no,1878,472,4,0.1821,0.5000,0.6429,0.6481,0.6451,0.6343,0.6473,0.0000,42.0664
hotpotqa,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,self,no,2626,499,4,0.5613,0.5016,0.6608,0.6422,0.6596,0.6612,0.6442,0.0000,48.1147
hotpotqa,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,cross,no,2282,490,4,0.5710,0.5070,0.6554,0.6486,0.6556,0.6547,0.6478,0.0000,46.9961
hotpotqa,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,cross,no,1787,497,4,0.1058,0.5000,0.7262,0.6990,0.7162,0.7327,0.6807,0.0000,41.4434
hotpotqa,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,cross,no,2248,493,4,0.4800,0.5000,0.6791,0.6802,0.6795,0.6781,0.6808,0.0000,43.8820
hotpotqa,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,cross,no,1878,472,4,0.1821,0.5649,0.6686,0.6683,0.6672,0.6667,0.6631,0.0953,60.9192
hotpotqa,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,cross,no,2626,499,4,0.5613,0.5070,0.5306,0.5326,0.5205,0.5295,0.5228,0.0953,64.0757
hotpotqa,Phi-4-mini-instruct,Phi-4-mini-instruct,self,no,2282,490,4,0.5710,0.5178,0.5455,0.5453,0.5436,0.5430,0.5412,0.0953,60.9439
hotpotqa,Phi-4-mini-instruct,Qwen3.6-35B-A3B,cross,no,1787,497,4,0.1058,0.5054,0.5500,0.5831,0.5986,0.5330,0.5585,0.0953,57.2393
hotpotqa,Phi-4-mini-instruct,gemma-3-4b-it,cross,no,2248,493,4,0.4800,0.5258,0.5504,0.5541,0.5740,0.5678,0.5685,0.0474,41.8757
hotpotqa,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,cross,yes,1878,472,4,0.1821,0.8099,0.7710,0.7875,0.8109,0.7883,0.7868,0.7024,49.9720
hotpotqa,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,cross,yes,2626,499,4,0.5613,0.7681,0.8141,0.7671,0.8272,0.7713,0.7939,0.6773,60.5735
hotpotqa,Qwen3.6-35B-A3B,Phi-4-mini-instruct,cross,yes,2282,490,4,0.5710,0.8316,0.8684,0.8102,0.8683,0.8391,0.8444,0.7040,59.4917
hotpotqa,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,self,yes,1787,497,4,0.1058,0.8085,0.6711,0.7840,0.8354,0.7324,0.7691,0.7529,51.3394
hotpotqa,Qwen3.6-35B-A3B,gemma-3-4b-it,cross,yes,2248,493,4,0.4800,0.8520,0.8754,0.8609,0.8715,0.8621,0.8732,0.7033,56.7479
hotpotqa,gemma-3-4b-it,Llama-3.3-70B-Instruct,cross,no,1878,472,4,0.1821,0.5224,0.6454,0.6377,0.6452,0.6271,0.6306,0.0000,42.1559
hotpotqa,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,cross,no,2626,499,4,0.5613,0.5081,0.6397,0.6187,0.6382,0.6359,0.6194,0.0000,48.7736
hotpotqa,gemma-3-4b-it,Phi-4-mini-instruct,cross,no,2282,490,4,0.5710,0.5358,0.6761,0.6689,0.6752,0.6743,0.6664,0.0000,47.4177
hotpotqa,gemma-3-4b-it,Qwen3.6-35B-A3B,cross,no,1787,497,4,0.1058,0.5031,0.6650,0.6523,0.6464,0.6430,0.6407,0.0000,41.5431
hotpotqa,gemma-3-4b-it,gemma-3-4b-it,self,no,2248,493,4,0.4800,0.5066,0.6994,0.6851,0.6929,0.6981,0.6844,0.0000,47.2647
