dataset,assessor,target,arm,capable,n,n_ep,n_pool_targets,parse_rate,g_degenerate,base,mean_u,p_hat,V,S_LOTO_raw,S_LOTO_quantile,S_g_quantile,S_oracle_pct,S_mid_gap,S_fitted,req_pct_quant,req_pct_g,req_pct_oracle,realized_flag_V,realized_flag_raw,realized_flag_quant,realized_flag_g,realized_flag_oracle,realized_flag_gap,gap_width,gap_mid,mass_extremes
alfworld,Phi-4-mini-instruct,Qwen3.6-35B-A3B,cross,no,2872,140,5,1.0000,0,0.4217,0.1503,0.0680,0.4927,0.4560,0.4949,0.4938,0.4521,0.4931,0.4952,6.7518,93.1997,57.8343,0.0655,0.6703,0.9325,0.0682,0.4220,0.0501,0.0621,0.5311,0.5752
alfworld,Phi-4-mini-instruct,deepseek-v4-flash,cross,no,3067,120,5,1.0000,0,0.3384,0.2977,0.6226,0.4827,0.4880,0.4939,0.4728,0.4864,0.4827,0.4872,20.7754,37.7372,66.1559,0.2357,0.7548,0.7923,0.6228,0.3388,0.2357,0.0621,0.4689,0.2687
alfworld,Phi-4-mini-instruct,gemma-3-4b-it,cross,no,6507,140,5,1.0000,0,0.9096,0.4228,0.6787,0.4996,0.5075,0.4961,0.5226,0.5242,0.4957,0.5221,63.8106,32.1308,9.0364,0.4177,0.4524,0.3619,0.6788,0.9096,0.3596,0.0621,0.5311,0.1987
alfworld,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,cross,yes,4285,140,5,1.0000,0,0.5328,0.6604,0.6381,0.7591,0.8358,0.7825,0.7859,0.8298,0.6640,0.8352,35.6859,36.1876,46.7211,0.6852,0.4952,0.6432,0.6383,0.5328,0.8082,0.0186,0.2572,0.4730
alfworld,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,cross,yes,6203,140,5,1.0000,0,0.7993,0.8201,0.7729,0.7154,0.8022,0.7909,0.7961,0.7839,0.6769,0.7977,40.3985,22.7079,20.0709,0.8776,0.7113,0.5960,0.7730,0.7993,0.9052,0.0184,0.3904,0.5987
alfworld,Qwen3.6-35B-A3B,Phi-4-mini-instruct,cross,yes,6005,140,5,1.0000,0,0.8243,0.8814,0.8479,0.6668,0.7606,0.7579,0.7591,0.7775,0.6746,0.7870,39.5701,15.2082,17.5687,0.9242,0.8458,0.6043,0.8480,0.8243,0.9191,0.0162,0.5108,0.7391
alfworld,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,self,yes,2872,140,5,1.0000,0,0.4217,0.3765,0.2513,0.6144,0.5665,0.6365,0.6032,0.6270,0.6169,0.6491,33.0418,74.8725,57.8343,0.3565,0.1253,0.6696,0.2514,0.4220,0.3743,0.0191,0.4526,0.2967
alfworld,Qwen3.6-35B-A3B,deepseek-v4-flash,cross,yes,3067,120,5,1.0000,0,0.3384,0.4280,0.4236,0.7916,0.7199,0.6890,0.7905,0.7930,0.7952,0.7635,33.4068,57.6354,66.1559,0.4177,0.1927,0.6661,0.4239,0.3388,0.3994,0.0179,0.5089,0.2850
alfworld,Qwen3.6-35B-A3B,gemma-3-4b-it,cross,yes,6507,140,5,1.0000,0,0.9096,0.8998,0.8307,0.7127,0.7963,0.7915,0.8108,0.7700,0.6879,0.8244,42.0426,16.9299,9.0364,0.9465,0.8708,0.5797,0.8308,0.9096,0.9557,0.0227,0.3889,0.7581
alfworld,deepseek-v4-flash,deepseek-v4-flash,self,no,2158,90,0,1.0000,0,0.2961,0.4224,,0.6650,,,,0.6217,0.6540,0.6762,,,70.3892,0.4374,,,,0.2966,0.4092,0.0622,0.5311,0.6015
