construct,dataset,target,open_judge,capable,n,auroc_gpt4o,auroc_open,delta,ci_lo,ci_hi
violation+judgment,hotpotqa,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,0,108,0.9109,0.5363,0.3746,0.2550,0.4943
violation+judgment,hotpotqa,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,1,108,0.9109,0.8754,0.0355,-0.0270,0.1034
violation+judgment,hotpotqa,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,0,108,0.9109,0.6709,0.2400,0.1332,0.3516
violation+judgment,hotpotqa,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,1,108,0.9468,0.9437,0.0031,-0.0477,0.0576
violation+judgment,hotpotqa,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,0,108,0.9468,0.6790,0.2677,0.1444,0.3960
violation+judgment,hotpotqa,Phi-4-mini-instruct,Phi-4-mini-instruct,0,108,0.9468,0.5220,0.4248,0.3142,0.5383
violation+judgment,hotpotqa,Phi-4-mini-instruct,Qwen3.6-35B-A3B,1,108,0.9468,0.9201,0.0266,-0.0265,0.0862
violation+judgment,hotpotqa,Phi-4-mini-instruct,gemma-3-4b-it,0,108,0.9468,0.7203,0.2265,0.1043,0.3632
violation+judgment,hotpotqa,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,1,90,0.9255,0.9244,-0.0138,-0.0860,0.0592
violation+judgment,hotpotqa,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,0,90,0.9255,0.8524,0.0582,-0.0253,0.1475
violation+judgment,hotpotqa,Qwen3.6-35B-A3B,Phi-4-mini-instruct,0,90,0.9255,0.6250,0.2855,0.1687,0.4074
violation+judgment,hotpotqa,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,1,90,0.9255,0.9666,-0.0560,-0.1140,-0.0054
violation+judgment,hotpotqa,Qwen3.6-35B-A3B,gemma-3-4b-it,0,90,0.9255,0.7742,0.1364,0.0397,0.2383
violation+judgment,hotpotqa,gemma-3-4b-it,Llama-3.3-70B-Instruct,1,108,0.9691,0.9680,0.0012,-0.0294,0.0336
violation+judgment,hotpotqa,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,0,108,0.9691,0.6528,0.3164,0.2082,0.4222
