dataset,assessor,target,arm,capable,n,n_ep,n_pool_targets,base,V,S_LOTO_raw,S_LOTO_quantile,S_fitted,S_LOTO_raw_macro,S_LOTO_quantile_macro,cut_pool,pct_pool
hotpotqa,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,cross,yes,269,256,4,0.1859,0.7877,0.8863,0.5868,0.9614,0.8477,0.6370,0.0003,14.0946
hotpotqa,Llama-3.3-70B-Instruct,gemma-3-4b-it,cross,yes,940,378,4,0.8883,0.8490,0.8457,0.8484,0.8290,0.8569,0.7842,0.0001,20.9273
hotpotqa,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,cross,no,321,275,4,0.4330,0.5000,0.8818,0.6621,0.8737,0.8409,0.7658,0.0000,18.2874
hotpotqa,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,self,no,931,426,4,0.9656,0.5006,0.8885,0.8648,0.8735,0.8941,0.7830,0.0000,26.4669
hotpotqa,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,cross,no,873,362,4,0.9656,0.5036,0.7978,0.8367,0.8258,0.8176,0.7888,0.0000,25.0305
hotpotqa,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,cross,no,269,256,4,0.1859,0.5000,0.9626,0.6142,0.9659,0.9686,0.6621,0.0000,18.8254
hotpotqa,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,cross,no,940,378,4,0.8883,0.5000,0.9265,0.8887,0.9394,0.9205,0.8198,0.0000,28.0702
hotpotqa,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,cross,no,321,275,4,0.4330,0.5664,0.8007,0.6393,0.8438,0.8102,0.7420,0.0110,16.4952
hotpotqa,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,cross,no,931,426,4,0.9656,0.5177,0.8930,0.8335,0.8915,0.8780,0.7724,0.0141,26.2172
hotpotqa,Phi-4-mini-instruct,Phi-4-mini-instruct,self,no,873,362,4,0.9656,0.5249,0.8026,0.7926,0.7816,0.7784,0.7429,0.0141,23.5270
hotpotqa,Phi-4-mini-instruct,Qwen3.6-35B-A3B,cross,no,269,256,4,0.1859,0.5100,0.9380,0.6005,0.9338,0.8872,0.6461,0.0141,16.3458
hotpotqa,Phi-4-mini-instruct,gemma-3-4b-it,cross,no,940,378,4,0.8883,0.5485,0.9194,0.9020,0.9186,0.8954,0.8270,0.0141,22.8488
hotpotqa,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,cross,yes,321,275,4,0.4330,0.8797,0.8725,0.6264,0.8820,0.8617,0.7390,0.4978,14.4374
hotpotqa,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,cross,yes,931,426,4,0.9656,0.9593,0.9303,0.8988,0.9169,0.9604,0.8204,0.4067,23.0545
hotpotqa,Qwen3.6-35B-A3B,Phi-4-mini-instruct,cross,yes,873,362,4,0.9656,0.8512,0.8512,0.8641,0.8202,0.8518,0.7947,0.4671,22.9988
hotpotqa,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,self,yes,269,256,4,0.1859,0.9409,0.9409,0.5868,0.9367,0.9209,0.6279,0.5288,14.1599
hotpotqa,Qwen3.6-35B-A3B,gemma-3-4b-it,cross,yes,940,378,4,0.8883,0.9166,0.9160,0.8907,0.9080,0.9166,0.8491,0.4977,21.0944
hotpotqa,gemma-3-4b-it,Llama-3.3-70B-Instruct,cross,no,321,275,4,0.4330,0.4931,0.7848,0.6291,0.7695,0.7780,0.7001,0.0000,14.7361
hotpotqa,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,cross,no,931,426,4,0.9656,0.4291,0.6910,0.7191,0.7494,0.6843,0.6797,0.0000,20.2663
hotpotqa,gemma-3-4b-it,Phi-4-mini-instruct,cross,no,873,362,4,0.9656,0.4499,0.7186,0.7093,0.7144,0.7121,0.6684,0.0000,19.6668
hotpotqa,gemma-3-4b-it,Qwen3.6-35B-A3B,cross,no,269,256,4,0.1859,0.5032,0.8381,0.6119,0.8180,0.8381,0.6393,0.0000,18.4013
hotpotqa,gemma-3-4b-it,gemma-3-4b-it,self,no,940,378,4,0.8883,0.4923,0.7952,0.8348,0.8366,0.8011,0.7825,0.0000,17.6692
