dataset,assessor,target,arm,capable,n,n_ep,n_pool_targets,parse_rate,g_degenerate,base,mean_u,p_hat,V,S_LOTO_raw,S_LOTO_quantile,S_g_quantile,S_oracle_pct,S_mid_gap,S_fitted,req_pct_quant,req_pct_g,req_pct_oracle,realized_flag_V,realized_flag_raw,realized_flag_quant,realized_flag_g,realized_flag_oracle,realized_flag_gap,gap_width,gap_mid,mass_extremes
alfworld,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,cross,yes,2269,138,5,1.0000,0,0.7554,0.7543,0.8310,0.7364,0.7564,0.7339,0.7210,0.7472,0.7410,0.7720,19.2661,16.8970,24.4601,0.7986,0.7171,0.8074,0.8312,0.7554,0.7893,0.0235,0.5165,0.6413
alfworld,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,cross,yes,4849,140,5,1.0000,0,0.9519,0.8767,0.8960,0.7201,0.7641,0.7507,0.7678,0.7092,0.6241,0.7646,27.7976,10.4012,4.8051,0.9427,0.7989,0.7220,0.8961,0.9519,0.9788,0.0186,0.2134,0.6803
alfworld,Qwen3.6-35B-A3B,Phi-4-mini-instruct,cross,yes,4375,140,5,1.0000,0,0.9376,0.9211,0.9455,0.6410,0.6723,0.6689,0.6605,0.6660,0.6095,0.6684,23.9955,5.4463,6.2400,0.9641,0.9239,0.7600,0.9456,0.9376,0.9783,0.0237,0.3074,0.8066
alfworld,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,self,yes,1725,139,5,1.0000,0,0.5872,0.3840,0.4659,0.6111,0.5512,0.6605,0.6445,0.6783,0.6424,0.6900,20.0508,53.4118,41.2754,0.3762,0.1374,0.7994,0.4661,0.5872,0.4678,0.0208,0.3630,0.3316
alfworld,Qwen3.6-35B-A3B,deepseek-v4-flash,cross,yes,1287,117,5,1.0000,0,0.5983,0.5135,0.6585,0.7571,0.6861,0.7038,0.7613,0.7640,0.7593,0.7163,23.0558,34.1450,40.1709,0.5610,0.3232,0.7700,0.6589,0.5983,0.5462,0.0239,0.5119,0.4087
alfworld,Qwen3.6-35B-A3B,gemma-3-4b-it,cross,yes,5723,140,5,1.0000,0,0.9677,0.9277,0.9391,0.6362,0.6983,0.7082,0.6976,0.6593,0.6194,0.7163,26.1910,6.0902,3.2326,0.9771,0.9298,0.7381,0.9392,0.9677,0.9824,0.0264,0.3907,0.7984
alfworld,deepseek-v4-flash,deepseek-v4-flash,self,no,768,87,0,1.0000,0,0.5990,0.4558,,0.7081,,,,0.7344,0.7004,0.7335,,,40.1042,0.4831,,,,0.5990,0.4414,0.0622,0.5311,0.6055
alfworld,gemma-3-4b-it,Llama-3.3-70B-Instruct,cross,no,2269,138,5,1.0000,0,0.7554,0.3060,0.8467,0.5289,0.6095,0.6202,0.6203,0.6100,0.5289,0.6191,20.9421,15.3344,24.4601,0.3050,0.7294,0.7907,0.8466,0.7554,0.3050,0.0622,0.4689,0.9418
alfworld,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,cross,no,4849,140,5,1.0000,0,0.9519,0.4133,0.9400,0.4962,0.5970,0.5807,0.5880,0.5785,0.4962,0.5897,24.1238,5.9981,4.8051,0.4133,0.8629,0.7587,0.9400,0.9519,0.4133,0.0622,0.4689,0.9451
alfworld,gemma-3-4b-it,Phi-4-mini-instruct,cross,no,4375,140,5,1.0000,0,0.9376,0.4358,0.9800,0.4906,0.5620,0.5544,0.5421,0.5488,0.4906,0.5278,24.2352,2.0000,6.2400,0.4366,0.8782,0.7577,0.9801,0.9376,0.4366,0.0622,0.4689,0.9435
