dataset,assessor,target,self,capable,n,n_pos,n_neg,n_ep,auroc,ci_lo,ci_hi,underpowered
hotpotqa,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,0,0,1163,981,182,496,0.8835,0.8556,0.9087,0
hotpotqa,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,0,0,2375,2343,32,499,0.9241,0.8450,0.9821,0
hotpotqa,Phi-4-mini-instruct,Phi-4-mini-instruct,1,0,1885,1855,30,499,0.8632,0.7956,0.9206,0
hotpotqa,Phi-4-mini-instruct,Qwen3.6-35B-A3B,0,0,1114,895,219,499,0.9151,0.8958,0.9332,0
hotpotqa,Phi-4-mini-instruct,gemma-3-4b-it,0,0,1658,1553,105,500,0.9417,0.9181,0.9598,0
hotpotqa,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,0,1,1163,981,182,496,0.8689,0.8398,0.8948,0
hotpotqa,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,0,1,2375,2343,32,499,0.9649,0.9421,0.9823,0
hotpotqa,Qwen3.6-35B-A3B,Phi-4-mini-instruct,0,1,1885,1855,30,499,0.8832,0.8130,0.9371,0
hotpotqa,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,1,1,1114,895,219,499,0.8829,0.8595,0.9050,0
hotpotqa,Qwen3.6-35B-A3B,gemma-3-4b-it,0,1,1658,1553,105,500,0.9109,0.8870,0.9336,0
hotpotqa,gemma-3-4b-it,Llama-3.3-70B-Instruct,0,0,1163,981,182,496,0.6828,0.6354,0.7316,0
hotpotqa,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,0,0,2375,2343,32,499,0.6675,0.5309,0.7950,0
hotpotqa,gemma-3-4b-it,Phi-4-mini-instruct,0,0,1885,1855,30,499,0.6347,0.4884,0.7676,0
hotpotqa,gemma-3-4b-it,Qwen3.6-35B-A3B,0,0,1114,895,219,499,0.7539,0.7134,0.7939,0
hotpotqa,gemma-3-4b-it,gemma-3-4b-it,1,0,1658,1553,105,500,0.7979,0.7445,0.8484,0
