dataset,assessor,target,self,capable,n,n_pos,n_neg,n_ep,auroc,ci_lo,ci_hi,underpowered
hotpotqa,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,0,0,1878,342,1536,472,0.7103,0.6772,0.7417,0
hotpotqa,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,0,0,2626,1474,1152,499,0.5402,0.5164,0.5633,0
hotpotqa,Phi-4-mini-instruct,Phi-4-mini-instruct,1,0,2282,1303,979,490,0.5568,0.5330,0.5797,0
hotpotqa,Phi-4-mini-instruct,Qwen3.6-35B-A3B,0,0,1787,189,1598,497,0.6193,0.5820,0.6572,0
hotpotqa,Phi-4-mini-instruct,gemma-3-4b-it,0,0,2248,1079,1169,493,0.5950,0.5680,0.6207,0
hotpotqa,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,0,1,1878,342,1536,472,0.8925,0.8729,0.9095,0
hotpotqa,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,0,1,2626,1474,1152,499,0.8995,0.8862,0.9129,0
hotpotqa,Qwen3.6-35B-A3B,Phi-4-mini-instruct,0,1,2282,1303,979,490,0.9435,0.9342,0.9526,0
hotpotqa,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,1,1,1787,189,1598,497,0.9214,0.9047,0.9375,0
hotpotqa,Qwen3.6-35B-A3B,gemma-3-4b-it,0,1,2248,1079,1169,493,0.9486,0.9392,0.9576,0
hotpotqa,gemma-3-4b-it,Llama-3.3-70B-Instruct,0,0,1878,342,1536,472,0.6981,0.6668,0.7296,0
hotpotqa,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,0,0,2626,1474,1152,499,0.6766,0.6565,0.6961,0
hotpotqa,gemma-3-4b-it,Phi-4-mini-instruct,0,0,2282,1303,979,490,0.7291,0.7078,0.7521,0
hotpotqa,gemma-3-4b-it,Qwen3.6-35B-A3B,0,0,1787,189,1598,497,0.7290,0.6834,0.7765,0
hotpotqa,gemma-3-4b-it,gemma-3-4b-it,1,0,2248,1079,1169,493,0.7509,0.7301,0.7713,0
