dataset,target,assessor,arm,n_inc,n_cor,mu_inc,mu_cor,gap,level,sd,thr,bal_acc
hotpotqa,Llama-3.3-70B-Instruct,gemma-3-4b-it,cross,369,794,0.1223,0.0825,0.0398,0.0951,0.2836,0.0000,0.5684
hotpotqa,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,cross,369,794,0.7305,0.3678,0.3627,0.4828,0.3425,0.5914,0.7284
hotpotqa,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,cross,369,794,0.3872,0.2306,0.1565,0.2803,0.2873,0.1824,0.6526
hotpotqa,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,self,1592,783,0.0431,0.0223,0.0207,0.0362,0.1392,0.0000,0.6499
hotpotqa,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,cross,1592,783,0.9144,0.6246,0.2899,0.8189,0.2570,0.8335,0.7446
hotpotqa,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,cross,1592,783,0.0593,0.0538,0.0054,0.0575,0.2239,0.0000,0.6178
hotpotqa,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,cross,1592,783,0.7959,0.2492,0.5468,0.6157,0.4653,0.8808,0.7814
hotpotqa,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,cross,1592,783,0.2642,0.2732,-0.0090,0.2672,0.2714,0.0180,0.5131
hotpotqa,Phi-4-mini-instruct,Phi-4-mini-instruct,self,1349,536,0.2590,0.2112,0.0478,0.2454,0.2878,0.0230,0.5618
hotpotqa,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,cross,1349,536,0.0906,0.0174,0.0732,0.0698,0.2214,0.0000,0.6568
hotpotqa,Phi-4-mini-instruct,gemma-3-4b-it,cross,1349,536,0.1409,0.1181,0.0228,0.1344,0.3345,0.0000,0.6122
hotpotqa,Phi-4-mini-instruct,Qwen3.6-35B-A3B,cross,1349,536,0.9265,0.5087,0.4178,0.8077,0.2841,0.8621,0.8140
hotpotqa,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,cross,1349,536,0.8477,0.1959,0.6518,0.6623,0.4534,0.7311,0.8351
hotpotqa,Qwen3.5-4B,Qwen3.5-4B,self,459,916,0.4774,0.2189,0.2585,0.3052,0.2715,0.1644,0.7119
hotpotqa,Qwen3.5-9B,Qwen3.5-9B,self,302,790,0.3516,0.1360,0.2156,0.1957,0.2461,0.0474,0.7097
hotpotqa,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,self,261,853,0.4920,0.2147,0.2773,0.2797,0.2714,0.2018,0.7191
hotpotqa,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,cross,261,853,0.0175,0.0030,0.0145,0.0064,0.0547,0.0000,0.7115
hotpotqa,Qwen3.6-35B-A3B,gemma-3-4b-it,cross,261,853,0.0121,0.0141,-0.0020,0.0136,0.1100,0.0000,0.5676
hotpotqa,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,cross,261,853,0.1296,0.0081,0.1214,0.0366,0.1748,0.0000,0.7300
hotpotqa,Qwen3.6-35B-A3B,Phi-4-mini-instruct,cross,261,853,0.1859,0.1372,0.0487,0.1486,0.2131,0.0180,0.6493
hotpotqa,gemma-3-4b-it,gemma-3-4b-it,self,1072,586,0.0518,0.0799,-0.0281,0.0617,0.2336,0.0000,0.6137
hotpotqa,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,cross,1072,586,0.0348,0.0114,0.0235,0.0265,0.1131,0.0000,0.7010
hotpotqa,gemma-3-4b-it,Qwen3.6-35B-A3B,cross,1072,586,0.9063,0.3902,0.5161,0.7239,0.3422,0.7017,0.8342
hotpotqa,gemma-3-4b-it,Phi-4-mini-instruct,cross,1072,586,0.2436,0.1981,0.0455,0.2276,0.2676,0.0141,0.5948
hotpotqa,gemma-3-4b-it,Llama-3.3-70B-Instruct,cross,1072,586,0.8392,0.1542,0.6850,0.5971,0.4778,0.0067,0.8469
