dataset,target,assessor,arm,n,inc_med,inc_mean,inc_q25,inc_q75,cor_med,cut_pctile
hotpotqa,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,cross,2375,62.005,60.258,40.438,81.803,21.356,69.000
hotpotqa,Phi-4-mini-instruct,Phi-4-mini-instruct,self,1885,52.601,51.897,27.813,76.221,43.418,77.000
hotpotqa,Phi-4-mini-instruct,gemma-3-4b-it,cross,1885,52.919,52.790,30.202,75.159,39.756,79.000
hotpotqa,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,cross,1885,57.325,56.033,33.386,79.459,29.724,60.000
hotpotqa,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,cross,1885,63.907,61.945,43.524,82.033,16.136,65.000
hotpotqa,Phi-4-mini-instruct,Qwen3.6-35B-A3B,cross,1885,62.473,61.111,41.614,81.900,16.454,68.000
hotpotqa,Qwen3.5-4B,Qwen3.5-4B,self,1375,72.780,68.943,52.402,87.700,36.317,58.000
hotpotqa,Qwen3.5-9B,Qwen3.5-9B,self,1092,74.060,70.044,51.696,88.909,39.138,56.000
hotpotqa,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,self,1114,76.640,72.139,58.041,90.117,40.791,49.000
hotpotqa,Qwen3.6-35B-A3B,gemma-3-4b-it,cross,1114,54.807,53.400,35.040,73.495,47.709,65.000
hotpotqa,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,cross,1114,77.628,73.248,59.389,91.195,40.791,35.000
hotpotqa,Qwen3.6-35B-A3B,Phi-4-mini-instruct,cross,1114,62.084,61.445,46.271,79.425,43.845,65.000
hotpotqa,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,cross,1114,74.663,70.594,55.795,88.589,40.791,55.000
hotpotqa,gemma-3-4b-it,gemma-3-4b-it,self,1658,53.108,53.401,31.261,75.860,38.443,85.000
hotpotqa,gemma-3-4b-it,Qwen3.6-35B-A3B,cross,1658,66.083,64.583,47.254,83.524,18.648,69.000
hotpotqa,gemma-3-4b-it,Llama-3.3-70B-Instruct,cross,1658,66.989,65.148,48.642,83.947,19.010,66.000
hotpotqa,gemma-3-4b-it,Phi-4-mini-instruct,cross,1658,54.556,53.541,29.934,76.826,40.616,83.000
hotpotqa,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,cross,1658,59.807,58.727,37.900,81.231,24.502,74.000
