dataset,target,assessor,arm,k,n,n_sel,base,prec,lift,recall
alfworld,Phi-4-mini-instruct,Phi-4-mini-instruct,self,10,6445,644,0.7891,0.7764,0.9839,0.0983
alfworld,Phi-4-mini-instruct,Phi-4-mini-instruct,self,20,6445,1289,0.7891,0.7649,0.9693,0.1939
alfworld,Phi-4-mini-instruct,Phi-4-mini-instruct,self,30,6445,1934,0.7891,0.7720,0.9783,0.2936
alfworld,Phi-4-mini-instruct,gemma-3-4b-it,cross,5,6445,322,0.7891,0.6646,0.8422,0.0421
alfworld,Phi-4-mini-instruct,gemma-3-4b-it,cross,10,6445,644,0.7891,0.6537,0.8284,0.0828
alfworld,Phi-4-mini-instruct,gemma-3-4b-it,cross,20,6445,1289,0.7891,0.7137,0.9044,0.1809
alfworld,Phi-4-mini-instruct,gemma-3-4b-it,cross,30,6445,1934,0.7891,0.7508,0.9514,0.2855
alfworld,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,cross,5,6445,322,0.7891,0.8012,1.0153,0.0507
alfworld,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,cross,10,6445,644,0.7891,0.8183,1.0370,0.1036
alfworld,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,cross,20,6445,1289,0.7891,0.8317,1.0539,0.2108
alfworld,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,cross,30,6445,1934,0.7891,0.8376,1.0615,0.3185
alfworld,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,cross,5,6445,329,0.7891,0.9544,1.2094,0.0617
alfworld,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,cross,10,6445,644,0.7891,0.9534,1.2082,0.1207
alfworld,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,cross,20,6445,1295,0.7891,0.9537,1.2085,0.2428
alfworld,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,cross,30,6445,1947,0.7891,0.9538,1.2086,0.3651
alfworld,Phi-4-mini-instruct,Qwen3.6-35B-A3B,cross,5,6445,322,0.7891,0.9472,1.2003,0.0600
alfworld,Phi-4-mini-instruct,Qwen3.6-35B-A3B,cross,10,6445,644,0.7891,0.9581,1.2141,0.1213
alfworld,Phi-4-mini-instruct,Qwen3.6-35B-A3B,cross,20,6445,1289,0.7891,0.9597,1.2161,0.2432
alfworld,Phi-4-mini-instruct,Qwen3.6-35B-A3B,cross,30,6445,1934,0.7891,0.9473,1.2004,0.3602
alfworld,Qwen3.5-4B,Qwen3.5-4B,self,5,3981,199,0.5421,0.6834,1.2607,0.0630
alfworld,Qwen3.5-4B,Qwen3.5-4B,self,10,3981,398,0.5421,0.6784,1.2515,0.1251
alfworld,Qwen3.5-4B,Qwen3.5-4B,self,20,3981,796,0.5421,0.7073,1.3048,0.2609
alfworld,Qwen3.5-4B,Qwen3.5-4B,self,30,3981,1194,0.5421,0.7044,1.2994,0.3897
alfworld,Qwen3.5-9B,Qwen3.5-9B,self,5,4024,201,0.4742,0.8308,1.7523,0.0875
alfworld,Qwen3.5-9B,Qwen3.5-9B,self,10,4024,402,0.4742,0.8159,1.7208,0.1719
alfworld,Qwen3.5-9B,Qwen3.5-9B,self,20,4024,805,0.4742,0.7578,1.5981,0.3197
alfworld,Qwen3.5-9B,Qwen3.5-9B,self,30,4024,1207,0.4742,0.7200,1.5184,0.4555
alfworld,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,self,5,3110,156,0.3862,0.8013,2.0749,0.1041
alfworld,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,self,10,3110,311,0.3862,0.7492,1.9400,0.1940
alfworld,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,self,20,3110,622,0.3862,0.6559,1.6986,0.3397
alfworld,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,self,30,3110,933,0.3862,0.5981,1.5487,0.4646
alfworld,Qwen3.6-35B-A3B,gemma-3-4b-it,cross,5,3110,156,0.3862,0.6218,1.6101,0.0808
alfworld,Qwen3.6-35B-A3B,gemma-3-4b-it,cross,10,3110,311,0.3862,0.5723,1.4821,0.1482
alfworld,Qwen3.6-35B-A3B,gemma-3-4b-it,cross,20,3110,622,0.3862,0.5579,1.4446,0.2889
alfworld,Qwen3.6-35B-A3B,gemma-3-4b-it,cross,30,3110,933,0.3862,0.5241,1.3572,0.4072
alfworld,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,cross,5,3110,156,0.3862,0.8910,2.3073,0.1157
alfworld,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,cross,10,3110,311,0.3862,0.8650,2.2398,0.2240
alfworld,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,cross,20,3110,622,0.3862,0.8392,2.1732,0.4346
