dataset,target,assessor,arm,n_inc,n_cor,mu_inc,mu_cor,gap,level,sd,thr,bal_acc
hotpotqa,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,cross,981,1549,0.0193,0.0169,0.0025,0.0178,0.0963,0.0000,0.6170
hotpotqa,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,cross,981,1549,0.5485,0.2672,0.2813,0.3762,0.3410,0.3980,0.6925
hotpotqa,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,cross,981,1549,0.3197,0.1794,0.1403,0.2338,0.2743,0.1480,0.6430
hotpotqa,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,self,2343,881,0.0364,0.0223,0.0142,0.0326,0.1329,0.0000,0.6520
hotpotqa,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,cross,2343,881,0.0553,0.0288,0.0265,0.0481,0.2059,0.0000,0.6370
hotpotqa,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,cross,2343,881,0.6241,0.1769,0.4472,0.5019,0.4814,0.0015,0.7534
hotpotqa,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,cross,2343,881,0.8286,0.3844,0.4443,0.7072,0.3512,0.7040,0.7566
hotpotqa,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,cross,2343,881,0.2701,0.1739,0.0962,0.2438,0.2669,0.0954,0.6240
hotpotqa,Phi-4-mini-instruct,Phi-4-mini-instruct,self,1855,861,0.2483,0.1332,0.1150,0.2118,0.2711,0.0953,0.6138
hotpotqa,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,cross,1855,861,0.6708,0.1685,0.5023,0.5116,0.4845,0.0000,0.7858
hotpotqa,Phi-4-mini-instruct,gemma-3-4b-it,cross,1855,861,0.1307,0.0325,0.0981,0.0996,0.2935,0.0000,0.6792
hotpotqa,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,cross,1855,861,0.0699,0.0278,0.0421,0.0566,0.1997,0.0000,0.6236
