dataset,target,assessor,arm,k,n,n_sel,base,prec,lift,recall
hotpotqa,gemma-3-4b-it,gemma-3-4b-it,self,30,2565,770,0.6055,0.7532,1.2441,0.3735
hotpotqa,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,cross,5,2565,128,0.6055,0.7109,1.1742,0.0586
hotpotqa,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,cross,10,2565,256,0.6055,0.7500,1.2387,0.1236
hotpotqa,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,cross,20,2565,513,0.6055,0.7641,1.2621,0.2524
hotpotqa,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,cross,30,2565,770,0.6055,0.7688,1.2698,0.3812
hotpotqa,gemma-3-4b-it,Phi-4-mini-instruct,cross,5,2565,128,0.6055,0.7656,1.2645,0.0631
hotpotqa,gemma-3-4b-it,Phi-4-mini-instruct,cross,10,2565,256,0.6055,0.7969,1.3162,0.1314
hotpotqa,gemma-3-4b-it,Phi-4-mini-instruct,cross,20,2565,513,0.6055,0.7797,1.2878,0.2576
hotpotqa,gemma-3-4b-it,Phi-4-mini-instruct,cross,30,2565,770,0.6055,0.7740,1.2784,0.3838
hotpotqa,gemma-3-4b-it,Qwen3.6-35B-A3B,cross,5,2565,128,0.6055,0.9297,1.5355,0.0766
hotpotqa,gemma-3-4b-it,Qwen3.6-35B-A3B,cross,10,2565,256,0.6055,0.9375,1.5484,0.1545
hotpotqa,gemma-3-4b-it,Qwen3.6-35B-A3B,cross,20,2565,513,0.6055,0.9084,1.5003,0.3001
hotpotqa,gemma-3-4b-it,Qwen3.6-35B-A3B,cross,30,2565,770,0.6055,0.8922,1.4736,0.4424
hotpotqa,gemma-3-4b-it,Llama-3.3-70B-Instruct,cross,5,2565,128,0.6055,0.9766,1.6129,0.0805
hotpotqa,gemma-3-4b-it,Llama-3.3-70B-Instruct,cross,10,2565,256,0.6055,0.9766,1.6129,0.1610
hotpotqa,gemma-3-4b-it,Llama-3.3-70B-Instruct,cross,20,2565,513,0.6055,0.9474,1.5647,0.3129
hotpotqa,gemma-3-4b-it,Llama-3.3-70B-Instruct,cross,30,2565,770,0.6055,0.9234,1.5251,0.4578
