dataset,target,assessor,arm,n,inc_med,inc_mean,inc_q25,inc_q75,cor_med,cut_pctile
hotpotqa,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,cross,3224,60.565,58.956,38.722,81.011,18.213,61.000
hotpotqa,Phi-4-mini-instruct,Phi-4-mini-instruct,self,2716,56.832,54.144,29.503,79.300,38.711,45.000
hotpotqa,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,cross,2716,57.422,55.356,32.339,79.300,34.733,70.000
hotpotqa,Phi-4-mini-instruct,gemma-3-4b-it,cross,2716,59.926,57.308,35.764,80.773,28.398,61.000
hotpotqa,Phi-4-mini-instruct,Qwen3.6-35B-A3B,cross,2716,62.026,60.587,41.952,81.289,19.595,63.000
hotpotqa,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,cross,2716,63.131,61.131,42.210,82.302,19.926,64.000
hotpotqa,Qwen3.5-4B,Qwen3.5-4B,self,2371,67.806,64.641,47.932,84.937,29.662,55.000
hotpotqa,Qwen3.5-9B,Qwen3.5-9B,self,2296,70.893,66.069,49.673,86.318,31.155,45.000
hotpotqa,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,self,2192,73.848,68.061,53.492,87.631,34.824,40.000
hotpotqa,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,cross,2192,66.317,60.455,38.841,83.797,40.164,37.000
hotpotqa,Qwen3.6-35B-A3B,Phi-4-mini-instruct,cross,2192,66.225,60.552,40.758,84.756,39.434,40.000
hotpotqa,Qwen3.6-35B-A3B,gemma-3-4b-it,cross,2192,60.749,56.932,35.281,79.735,42.264,50.000
hotpotqa,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,cross,2192,71.018,65.091,46.417,86.216,36.330,41.000
hotpotqa,gemma-3-4b-it,gemma-3-4b-it,self,2565,60.257,57.182,36.856,79.524,32.683,52.000
hotpotqa,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,cross,2565,59.789,56.820,35.296,80.304,34.282,55.000
hotpotqa,gemma-3-4b-it,Phi-4-mini-instruct,cross,2565,60.335,56.338,33.151,80.577,36.505,43.000
hotpotqa,gemma-3-4b-it,Qwen3.6-35B-A3B,cross,2565,65.679,63.314,46.061,83.541,23.986,58.000
hotpotqa,gemma-3-4b-it,Llama-3.3-70B-Instruct,cross,2565,66.771,63.749,46.685,84.068,24.415,54.000
