dataset,assessor,target,arm,capable,n,n_ep,n_pool_targets,base,V,S_LOTO_raw,S_LOTO_quantile,S_fitted,S_LOTO_raw_macro,S_LOTO_quantile_macro,cut_pool,pct_pool
hotpotqa,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,cross,yes,1074,498,4,0.7961,0.5550,0.6672,0.7451,0.7751,0.6619,0.7161,0.0000,22.2112
hotpotqa,Llama-3.3-70B-Instruct,gemma-3-4b-it,cross,yes,1281,485,4,0.9180,0.7404,0.7554,0.7558,0.7226,0.7501,0.7558,0.0000,22.5884
hotpotqa,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,cross,no,1054,489,4,0.8273,0.5000,0.8145,0.7627,0.8072,0.8127,0.8018,0.0000,21.9065
hotpotqa,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,self,no,2140,488,4,0.9850,0.5012,0.8673,0.8459,0.8417,0.8735,0.8326,0.0000,28.7296
hotpotqa,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,cross,no,1558,490,4,0.9807,0.5052,0.7610,0.7802,0.7829,0.7907,0.8077,0.0000,25.0676
hotpotqa,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,cross,no,1074,498,4,0.7961,0.5000,0.8446,0.7378,0.8515,0.8383,0.7978,0.0000,21.0177
hotpotqa,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,cross,no,1281,485,4,0.9180,0.5000,0.8440,0.8604,0.8595,0.8402,0.8580,0.0000,27.2228
hotpotqa,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,cross,no,1054,489,4,0.8273,0.5954,0.7877,0.7269,0.7944,0.7831,0.7791,0.0141,15.8103
hotpotqa,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,cross,no,2140,488,4,0.9850,0.5534,0.9038,0.8518,0.9006,0.9033,0.8208,0.0141,21.3207
hotpotqa,Phi-4-mini-instruct,Phi-4-mini-instruct,self,no,1558,490,4,0.9807,0.5530,0.7996,0.8028,0.8001,0.7933,0.8247,0.0141,17.2644
hotpotqa,Phi-4-mini-instruct,Qwen3.6-35B-A3B,cross,no,1074,498,4,0.7961,0.5175,0.8467,0.7428,0.8668,0.8514,0.7695,0.0230,17.9844
hotpotqa,Phi-4-mini-instruct,gemma-3-4b-it,cross,no,1281,485,4,0.9180,0.5519,0.8968,0.8762,0.9010,0.8860,0.8834,0.0141,15.7055
hotpotqa,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,cross,yes,1054,489,4,0.8273,0.7719,0.7949,0.7356,0.7792,0.7822,0.7585,0.2942,19.2962
hotpotqa,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,cross,yes,2140,488,4,0.9850,0.9208,0.8775,0.8470,0.8779,0.8969,0.8252,0.2942,28.5283
hotpotqa,Qwen3.6-35B-A3B,Phi-4-mini-instruct,cross,yes,1558,490,4,0.9807,0.7943,0.8143,0.7982,0.7665,0.8097,0.8129,0.2942,24.8874
hotpotqa,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,self,yes,1074,498,4,0.7961,0.6909,0.7121,0.7315,0.8065,0.6985,0.7706,0.4372,21.1835
hotpotqa,Qwen3.6-35B-A3B,gemma-3-4b-it,cross,yes,1281,485,4,0.9180,0.8181,0.8111,0.8106,0.8199,0.8275,0.8156,0.2942,22.0048
hotpotqa,gemma-3-4b-it,Llama-3.3-70B-Instruct,cross,no,1054,489,4,0.8273,0.4775,0.6628,0.6344,0.6696,0.6425,0.6734,0.0000,19.0154
hotpotqa,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,cross,no,2140,488,4,0.9850,0.4382,0.6713,0.6984,0.6731,0.6620,0.6811,0.0000,26.5754
hotpotqa,gemma-3-4b-it,Phi-4-mini-instruct,cross,no,1558,490,4,0.9807,0.4683,0.6705,0.6548,0.6492,0.6603,0.6606,0.0000,22.9771
hotpotqa,gemma-3-4b-it,Qwen3.6-35B-A3B,cross,no,1074,498,4,0.7961,0.5002,0.6764,0.7054,0.7135,0.6906,0.7113,0.0000,28.5430
hotpotqa,gemma-3-4b-it,gemma-3-4b-it,self,no,1281,485,4,0.9180,0.4997,0.7188,0.7073,0.7433,0.7107,0.7160,0.0000,21.9533
