dataset,target,assessor,arm,scope,n,n_ep,n_verdict,say_inc,verdict,value_in,value_out,optimism,gain_out
hotpotqa,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,cross,AGG-true,1558,490,1558,0.0103,0.5052,0.8188,0.7829,0.0359,0.2776
hotpotqa,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,cross,AGG-true,1074,498,1074,0.0000,0.5000,0.8524,0.8515,0.0009,0.3515
hotpotqa,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,cross,AGG-true,1281,485,1281,0.0000,0.5000,0.8656,0.8595,0.0061,0.3595
hotpotqa,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,cross,AGG-true,1054,489,1054,0.1689,0.5954,0.8184,0.7944,0.0240,0.1989
hotpotqa,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,cross,AGG-true,2140,488,2140,0.1364,0.5534,0.9183,0.9006,0.0177,0.3472
hotpotqa,Phi-4-mini-instruct,Phi-4-mini-instruct,self,AGG-true,1558,490,1558,0.1040,0.5530,0.8257,0.8001,0.0256,0.2471
hotpotqa,Qwen3.6-35B-A3B,Phi-4-mini-instruct,cross,AGG-true,1074,498,1074,0.0279,0.5175,0.8727,0.8668,0.0059,0.3492
hotpotqa,gemma-3-4b-it,Phi-4-mini-instruct,cross,AGG-true,1281,485,1281,0.0952,0.5519,0.9046,0.9010,0.0036,0.3491
hotpotqa,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,cross,AGG-true,1054,489,1054,0.5323,0.7719,0.7960,0.7792,0.0168,0.0073
hotpotqa,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,cross,AGG-true,2140,488,2140,0.8916,0.9208,0.9256,0.8779,0.0477,-0.0430
hotpotqa,Phi-4-mini-instruct,Qwen3.6-35B-A3B,cross,AGG-true,1558,490,1558,0.8440,0.7943,0.8237,0.7665,0.0572,-0.0278
hotpotqa,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,self,AGG-true,1074,498,1074,0.3222,0.6909,0.8094,0.8065,0.0029,0.1156
hotpotqa,gemma-3-4b-it,Qwen3.6-35B-A3B,cross,AGG-true,1281,485,1281,0.7174,0.8181,0.8287,0.8199,0.0089,0.0017
hotpotqa,Llama-3.3-70B-Instruct,gemma-3-4b-it,cross,AGG-true,1054,489,1054,0.0342,0.4775,0.6761,0.6696,0.0065,0.1921
hotpotqa,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,cross,AGG-true,2140,488,2140,0.0346,0.4382,0.7150,0.6731,0.0419,0.2349
hotpotqa,Phi-4-mini-instruct,gemma-3-4b-it,cross,AGG-true,1558,490,1558,0.0712,0.4683,0.6737,0.6492,0.0245,0.1808
hotpotqa,Qwen3.6-35B-A3B,gemma-3-4b-it,cross,AGG-true,1074,498,1074,0.0140,0.5002,0.7231,0.7135,0.0096,0.2133
hotpotqa,gemma-3-4b-it,gemma-3-4b-it,self,AGG-true,1281,485,1281,0.0281,0.4997,0.7458,0.7433,0.0025,0.2436
