dataset,assessor,target,arm,capable,n,n_ep,n_pool_targets,base,V,S_LOTO_raw,S_LOTO_quantile,S_fitted,S_LOTO_raw_macro,S_LOTO_quantile_macro,cut_pool,pct_pool
hotpotqa,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,cross,yes,1784,497,4,0.1031,0.6695,0.6961,0.7764,0.8074,0.6695,0.7849,0.0953,50.6846
hotpotqa,Llama-3.3-70B-Instruct,gemma-3-4b-it,cross,yes,2229,487,4,0.4751,0.8627,0.8623,0.8500,0.8615,0.8644,0.8460,0.0293,58.2871
hotpotqa,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,cross,no,1845,467,4,0.1648,0.5000,0.6504,0.6542,0.6485,0.6500,0.6544,0.0000,43.8807
hotpotqa,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,self,no,2607,492,4,0.5577,0.5016,0.6614,0.6423,0.6601,0.6622,0.6394,0.0000,48.2255
hotpotqa,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,cross,no,2229,466,4,0.5608,0.5074,0.6562,0.6499,0.6543,0.6557,0.6480,0.0000,46.9699
hotpotqa,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,cross,no,1784,497,4,0.1031,0.5000,0.7371,0.6964,0.7193,0.7353,0.6995,0.0000,41.2346
hotpotqa,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,cross,no,2229,487,4,0.4751,0.5000,0.6800,0.6781,0.6809,0.6802,0.6777,0.0000,46.9344
hotpotqa,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,cross,no,1845,467,4,0.1648,0.5697,0.6741,0.6740,0.6706,0.6727,0.6632,0.0953,60.9899
hotpotqa,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,cross,no,2607,492,4,0.5577,0.5061,0.5291,0.5316,0.5203,0.5281,0.5205,0.0953,63.8803
hotpotqa,Phi-4-mini-instruct,Phi-4-mini-instruct,self,no,2229,466,4,0.5608,0.5186,0.5466,0.5457,0.5443,0.5441,0.5416,0.0953,61.0868
hotpotqa,Phi-4-mini-instruct,Qwen3.6-35B-A3B,cross,no,1784,497,4,0.1031,0.5058,0.5457,0.5800,0.5963,0.5274,0.5569,0.0953,57.3176
hotpotqa,Phi-4-mini-instruct,gemma-3-4b-it,cross,no,2229,487,4,0.4751,0.5264,0.5491,0.5532,0.5751,0.5692,0.5684,0.0474,42.0437
hotpotqa,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,cross,yes,1845,467,4,0.1648,0.8148,0.7841,0.7869,0.8182,0.7979,0.7866,0.7043,50.9210
hotpotqa,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,cross,yes,2607,492,4,0.5577,0.7677,0.8134,0.7651,0.8262,0.7823,0.7859,0.6773,61.0857
hotpotqa,Qwen3.6-35B-A3B,Phi-4-mini-instruct,cross,yes,2229,466,4,0.5608,0.8314,0.8686,0.8133,0.8691,0.8387,0.8367,0.7043,59.7637
hotpotqa,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,self,yes,1784,497,4,0.1031,0.8068,0.6762,0.7851,0.8327,0.7211,0.7798,0.7529,51.6947
hotpotqa,Qwen3.6-35B-A3B,gemma-3-4b-it,cross,yes,2229,487,4,0.4751,0.8514,0.8760,0.8609,0.8724,0.8677,0.8715,0.7035,57.2711
hotpotqa,gemma-3-4b-it,Llama-3.3-70B-Instruct,cross,no,1845,467,4,0.1648,0.5221,0.6310,0.6257,0.6297,0.6139,0.6131,0.0000,42.3890
hotpotqa,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,cross,no,2607,492,4,0.5577,0.5080,0.6390,0.6170,0.6378,0.6353,0.6176,0.0000,49.1530
hotpotqa,gemma-3-4b-it,Phi-4-mini-instruct,cross,no,2229,466,4,0.5608,0.5372,0.6688,0.6648,0.6759,0.6749,0.6671,0.0000,50.9037
hotpotqa,gemma-3-4b-it,Qwen3.6-35B-A3B,cross,no,1784,497,4,0.1031,0.5032,0.6599,0.6513,0.6402,0.6380,0.6401,0.0000,41.8406
hotpotqa,gemma-3-4b-it,gemma-3-4b-it,self,no,2229,487,4,0.4751,0.5068,0.6989,0.6836,0.6921,0.6978,0.6833,0.0000,47.6078
