dataset,assessor,target,arm,capable,n,n_ep,n_pool_targets,parse_rate,g_degenerate,base,mean_u,p_hat,V,S_LOTO_raw,S_LOTO_quantile,S_g_quantile,S_oracle_pct,S_mid_gap,S_fitted,req_pct_quant,req_pct_g,req_pct_oracle,realized_flag_V,realized_flag_raw,realized_flag_quant,realized_flag_g,realized_flag_oracle,realized_flag_gap,gap_width,gap_mid,mass_extremes
alfworld,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,cross,yes,4142,140,5,1.0000,0,0.4973,0.6594,0.6038,0.7745,0.8531,0.7989,0.8202,0.8530,0.6755,0.8571,35.7451,39.6176,50.2656,0.6837,0.4853,0.6427,0.6038,0.4976,0.8071,0.0187,0.2571,0.4737
alfworld,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,cross,yes,5866,140,5,1.0000,0,0.7712,0.8231,0.7559,0.7139,0.8139,0.8042,0.8084,0.8048,0.6754,0.8119,40.0512,24.4113,22.8776,0.8798,0.7189,0.5996,0.7559,0.7712,0.9062,0.0184,0.3904,0.6062
alfworld,Qwen3.6-35B-A3B,Phi-4-mini-instruct,cross,yes,5682,140,5,1.0000,0,0.8073,0.8844,0.8329,0.6683,0.7738,0.7652,0.7851,0.7919,0.6767,0.7977,39.9211,16.7081,19.2714,0.9256,0.8448,0.6008,0.8330,0.8073,0.9210,0.0190,0.5094,0.7480
alfworld,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,self,yes,2705,140,5,1.0000,0,0.3453,0.3703,0.2103,0.6380,0.5796,0.6539,0.6122,0.6391,0.6411,0.6741,32.6758,78.9710,65.4713,0.3482,0.1227,0.6732,0.2107,0.3457,0.3656,0.0191,0.4526,0.3039
alfworld,Qwen3.6-35B-A3B,deepseek-v4-flash,cross,yes,2981,120,5,1.0000,0,0.3053,0.4229,0.3549,0.8110,0.7234,0.6998,0.8138,0.8084,0.8151,0.7820,34.6873,64.5085,69.4733,0.4096,0.1731,0.6531,0.3552,0.3056,0.3918,0.0179,0.5089,0.2878
alfworld,Qwen3.6-35B-A3B,gemma-3-4b-it,cross,yes,6372,140,5,1.0000,0,0.9027,0.9034,0.8133,0.7118,0.8093,0.7851,0.8254,0.7892,0.6877,0.8283,44.4938,18.6750,9.7301,0.9501,0.8584,0.5551,0.8132,0.9027,0.9583,0.0227,0.3889,0.7643
alfworld,deepseek-v4-flash,deepseek-v4-flash,self,no,2114,90,0,1.0000,0,0.2677,0.4168,,0.6742,,,,0.6209,0.6630,0.6946,,,73.2261,0.4305,,,,0.2682,0.4026,0.0622,0.5311,0.6017
alfworld,gemma-3-4b-it,Llama-3.3-70B-Instruct,cross,no,4142,140,5,1.0000,0,0.4973,0.3564,0.7220,0.4761,0.5550,0.5576,0.5369,0.4952,0.4761,0.5520,19.7831,27.8001,50.2656,0.3551,0.7718,0.8023,0.7221,0.4976,0.3551,0.0622,0.4689,0.9425
alfworld,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,cross,no,5866,140,5,1.0000,0,0.7712,0.4377,0.7732,0.4164,0.5520,0.5097,0.5105,0.5092,0.4164,0.5541,22.7950,22.6760,22.8776,0.4388,0.8880,0.7721,0.7733,0.7712,0.4388,0.0622,0.4689,0.9480
alfworld,gemma-3-4b-it,Phi-4-mini-instruct,cross,no,5682,140,5,1.0000,0,0.8073,0.4641,0.8009,0.4253,0.5523,0.5128,0.5232,0.5249,0.4241,0.5398,22.6910,19.9069,19.2714,0.4648,0.8926,0.7731,0.8010,0.8073,0.4620,0.0622,0.5311,0.9453
alfworld,gemma-3-4b-it,Qwen3.6-35B-A3B,cross,no,2705,140,5,1.0000,0,0.3453,0.1357,0.4653,0.4955,0.5673,0.5806,0.5517,0.5198,0.4953,0.5936,17.3142,53.4656,65.4713,0.1386,0.5264,0.8270,0.4654,0.3457,0.1357,0.0622,0.5311,0.9730
alfworld,gemma-3-4b-it,deepseek-v4-flash,cross,no,2981,120,5,1.0000,0,0.3053,0.1352,0.4923,0.4875,0.5354,0.5248,0.5173,0.4999,0.4868,0.5128,17.9553,50.7704,69.4733,0.1372,0.6300,0.8205,0.4925,0.3056,0.1359,0.0622,0.5311,0.9634
alfworld,gemma-3-4b-it,gemma-3-4b-it,self,no,6372,140,5,1.0000,0,0.9027,0.2436,0.4585,0.4090,0.5810,0.5657,0.4529,0.5926,0.4090,0.5833,21.6879,54.1504,9.7301,0.2437,0.8382,0.7831,0.4586,0.9027,0.2437,0.0622,0.4689,0.9459
hotpotqa,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,self,yes,1845,467,4,1.0000,0,0.1648,0.1386,0.1715,0.7396,0.7644,0.7842,0.7693,0.7614,0.7379,0.8157,52.0963,82.8478,83.5230,0.1393,0.1669,0.4791,0.1718,0.1653,0.1388,0.0622,0.5311,0.9431
hotpotqa,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,cross,yes,2607,492,4,1.0000,0,0.5577,0.5973,0.5926,0.8249,0.8104,0.7807,0.8284,0.8274,0.8249,0.8289,62.1244,40.7350,44.2271,0.6026,0.6567,0.3790,0.5926,0.5577,0.6026,0.0622,0.4689,0.9317
hotpotqa,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,cross,yes,2229,466,4,1.0000,0,0.5608,0.5524,0.5262,0.8596,0.8547,0.8171,0.8645,0.8579,0.8609,0.8560,60.2953,47.3807,43.9210,0.5545,0.5980,0.3975,0.5262,0.5608,0.5518,0.0622,0.5311,0.9390
hotpotqa,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,cross,yes,1784,497,4,1.0000,0,0.1031,0.0634,0.0996,0.6695,0.6961,0.7764,0.7107,0.7179,0.6619,0.8074,50.6846,90.0352,89.6861,0.0656,0.0830,0.4933,0.1003,0.1037,0.0628,0.0622,0.5311,0.9647
hotpotqa,Llama-3.3-70B-Instruct,gemma-3-4b-it,cross,yes,2229,487,4,1.0000,0,0.4751,0.4819,0.4751,0.8627,0.8623,0.8500,0.8606,0.8611,0.8617,0.8615,58.2871,52.4942,52.4899,0.4823,0.5271,0.4172,0.4751,0.4755,0.4787,0.0622,0.5311,0.9444
hotpotqa,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,cross,no,1845,467,4,1.0000,0,0.1648,0.0008,0.2312,0.5000,0.6504,0.6542,0.5938,0.5802,0.5026,0.6485,43.8807,76.8759,83.5230,0.0000,0.4461,0.5615,0.2314,0.1653,0.0022,0.1544,0.1246,0.9978
hotpotqa,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,self,no,2607,492,4,1.0000,0,0.5577,0.0074,0.4671,0.5016,0.6614,0.6423,0.6358,0.6524,0.5003,0.6601,48.2255,53.2866,44.2271,0.0027,0.6736,0.5178,0.4672,0.5577,0.0004,0.1274,0.8410,0.9808
