dataset,target,assessor,arm,n_inc,n_cor,mu_inc,mu_cor,gap,level,sd,thr,bal_acc
hotpotqa,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,cross,529,2001,0.3910,0.1922,0.1988,0.2338,0.2743,0.0759,0.6809
hotpotqa,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,cross,529,2001,0.0327,0.0139,0.0188,0.0178,0.0963,0.0000,0.6845
hotpotqa,Llama-3.3-70B-Instruct,gemma-3-4b-it,cross,529,2001,0.1136,0.0480,0.0656,0.0617,0.2318,0.0000,0.6592
hotpotqa,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,self,1746,1478,0.0448,0.0181,0.0268,0.0326,0.1329,0.0000,0.6800
hotpotqa,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,cross,1746,1478,0.9079,0.4702,0.4376,0.7072,0.3512,0.8134,0.7924
hotpotqa,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,cross,1746,1478,0.2711,0.2116,0.0595,0.2438,0.2669,0.0759,0.5723
hotpotqa,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,cross,1746,1478,0.7717,0.1832,0.5885,0.5019,0.4814,0.6225,0.7979
hotpotqa,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,cross,1746,1478,0.0607,0.0332,0.0275,0.0481,0.2059,0.0000,0.6642
hotpotqa,Phi-4-mini-instruct,Phi-4-mini-instruct,self,1512,1204,0.2539,0.1589,0.0951,0.2118,0.2711,0.0759,0.5981
hotpotqa,Phi-4-mini-instruct,Qwen3.6-35B-A3B,cross,1512,1204,0.9207,0.3399,0.5807,0.6632,0.3842,0.7847,0.8630
hotpotqa,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,cross,1512,1204,0.0894,0.0153,0.0741,0.0566,0.1997,0.0000,0.6796
hotpotqa,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,cross,1512,1204,0.8223,0.1214,0.7009,0.5116,0.4845,0.0006,0.8554
hotpotqa,Phi-4-mini-instruct,gemma-3-4b-it,cross,1512,1204,0.1332,0.0574,0.0758,0.0996,0.2935,0.0000,0.6896
hotpotqa,Qwen3.5-4B,Qwen3.5-4B,self,577,1794,0.4457,0.1532,0.2925,0.2244,0.2582,0.1644,0.7621
hotpotqa,Qwen3.5-9B,Qwen3.5-9B,self,464,1822,0.3012,0.0857,0.2155,0.1294,0.2127,0.0260,0.7617
hotpotqa,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,self,336,1856,0.4725,0.1399,0.3326,0.1909,0.2453,0.2018,0.7856
hotpotqa,Qwen3.6-35B-A3B,Phi-4-mini-instruct,cross,336,1856,0.1780,0.1113,0.0667,0.1215,0.1888,0.0373,0.6488
hotpotqa,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,cross,336,1856,0.0222,0.0038,0.0183,0.0066,0.0616,0.0000,0.7357
hotpotqa,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,cross,336,1856,0.1166,0.0105,0.1061,0.0267,0.1510,0.0000,0.7635
hotpotqa,Qwen3.6-35B-A3B,gemma-3-4b-it,cross,336,1856,0.0095,0.0086,0.0009,0.0087,0.0884,0.0000,0.6491
hotpotqa,gemma-3-4b-it,gemma-3-4b-it,self,1210,1355,0.0559,0.0397,0.0162,0.0473,0.2059,0.0000,0.6795
hotpotqa,gemma-3-4b-it,Qwen3.6-35B-A3B,cross,1210,1355,0.8960,0.2857,0.6103,0.5736,0.4031,0.7001,0.8661
hotpotqa,gemma-3-4b-it,Phi-4-mini-instruct,cross,1210,1355,0.2455,0.1503,0.0952,0.1952,0.2535,0.0953,0.6150
hotpotqa,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,cross,1210,1355,0.0402,0.0131,0.0270,0.0259,0.1191,0.0000,0.6882
hotpotqa,gemma-3-4b-it,Llama-3.3-70B-Instruct,cross,1210,1355,0.7996,0.1019,0.6977,0.4310,0.4847,0.0003,0.8674
