dataset,target,assessor,arm,k,n,n_sel,base,prec,lift,recall
alfworld,gemma-3-4b-it,Qwen3.6-35B-A3B,cross,10,6790,679,0.8863,1.0000,1.1283,0.1128
alfworld,gemma-3-4b-it,Qwen3.6-35B-A3B,cross,20,6790,1358,0.8863,0.9993,1.1275,0.2255
alfworld,gemma-3-4b-it,Qwen3.6-35B-A3B,cross,30,6790,2037,0.8863,0.9971,1.1250,0.3375
alfworld,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,cross,5,6790,340,0.8863,0.9118,1.0287,0.0515
alfworld,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,cross,10,6790,679,0.8863,0.9352,1.0552,0.1055
alfworld,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,cross,20,6790,1358,0.8863,0.9477,1.0693,0.2139
alfworld,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,cross,30,6790,2037,0.8863,0.9460,1.0674,0.3202
alfworld,gemma-3-4b-it,Phi-4-mini-instruct,cross,5,6790,340,0.8863,0.8853,0.9989,0.0500
alfworld,gemma-3-4b-it,Phi-4-mini-instruct,cross,10,6790,679,0.8863,0.9131,1.0302,0.1030
alfworld,gemma-3-4b-it,Phi-4-mini-instruct,cross,20,6790,1358,0.8863,0.9190,1.0369,0.2074
alfworld,gemma-3-4b-it,Phi-4-mini-instruct,cross,30,6790,2037,0.8863,0.9244,1.0430,0.3129
alfworld,gemma-3-4b-it,Llama-3.3-70B-Instruct,cross,5,6790,348,0.8863,1.0000,1.1283,0.0578
alfworld,gemma-3-4b-it,Llama-3.3-70B-Instruct,cross,10,6790,705,0.8863,0.9929,1.1203,0.1163
alfworld,gemma-3-4b-it,Llama-3.3-70B-Instruct,cross,20,6790,1366,0.8863,0.9912,1.1184,0.2250
alfworld,gemma-3-4b-it,Llama-3.3-70B-Instruct,cross,30,6790,2064,0.8863,0.9884,1.1152,0.3390
hotpotqa,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,self,5,2530,126,0.2091,0.6508,3.1125,0.1550
hotpotqa,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,self,10,2530,253,0.2091,0.6522,3.1191,0.3119
hotpotqa,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,self,20,2530,506,0.2091,0.5494,2.6276,0.5255
hotpotqa,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,self,30,2530,759,0.2091,0.4822,2.3062,0.6919
hotpotqa,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,cross,5,2530,126,0.2091,0.7222,3.4541,0.1720
hotpotqa,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,cross,10,2530,253,0.2091,0.6364,3.0435,0.3043
hotpotqa,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,cross,20,2530,506,0.2091,0.5593,2.6749,0.5350
hotpotqa,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,cross,30,2530,759,0.2091,0.4730,2.2621,0.6786
hotpotqa,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,cross,5,2530,126,0.2091,0.3492,1.6701,0.0832
hotpotqa,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,cross,10,2530,253,0.2091,0.3794,1.8147,0.1815
hotpotqa,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,cross,20,2530,506,0.2091,0.3676,1.7580,0.3516
hotpotqa,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,cross,30,2530,759,0.2091,0.3478,1.6635,0.4991
hotpotqa,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,cross,5,2530,126,0.2091,0.3810,1.8219,0.0907
hotpotqa,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,cross,10,2530,253,0.2091,0.4150,1.9849,0.1985
hotpotqa,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,cross,20,2530,506,0.2091,0.4012,1.9187,0.3837
hotpotqa,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,cross,30,2530,759,0.2091,0.3781,1.8084,0.5425
hotpotqa,Llama-3.3-70B-Instruct,gemma-3-4b-it,cross,5,2530,126,0.2091,0.3810,1.8219,0.0907
hotpotqa,Llama-3.3-70B-Instruct,gemma-3-4b-it,cross,10,2530,253,0.2091,0.3557,1.7013,0.1701
hotpotqa,Llama-3.3-70B-Instruct,gemma-3-4b-it,cross,20,2530,506,0.2091,0.3221,1.5406,0.3081
hotpotqa,Llama-3.3-70B-Instruct,gemma-3-4b-it,cross,30,2530,759,0.2091,0.3228,1.5438,0.4631
hotpotqa,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,self,5,3224,161,0.5416,0.7081,1.3075,0.0653
hotpotqa,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,self,10,3224,322,0.5416,0.7453,1.3763,0.1375
