construct,dataset,assessor,target,capable,n,n_pool,base,V,V_anchor_S1d,V_parse_rate,S_LOTO_quantile,S_g_quantile,S_oracle_pct,S_fitted,arm0_h_rule,arm0_pct,arm1_mixture,arm1_status,arm1_cut,arm2_violation,arm2_cut
violation,alfworld,gemma-3-4b-it,Phi-4-mini-instruct,no,4375,5,0.9376,0.4906,0.4906,1.0000,0.5544,0.5421,0.5488,0.5278,0.5571,0.0759,0.5363,ok,0.0001,0.5584,0.0000
violation,alfworld,gemma-3-4b-it,Qwen3.6-35B-A3B,no,1725,5,0.5872,0.5070,0.5070,1.0000,0.5907,0.6007,0.5874,0.6060,0.5938,0.1524,0.5246,ok,0.0001,0.6108,0.0000
violation,alfworld,gemma-3-4b-it,deepseek-v4-flash,no,1287,5,0.5983,0.4924,0.4924,1.0000,0.5724,0.5593,0.5603,0.5639,0.5654,0.1615,0.5086,ok,0.0001,0.5664,0.0000
violation,alfworld,gemma-3-4b-it,gemma-3-4b-it,no,5723,5,0.9677,0.4065,0.4065,1.0000,0.5362,0.5110,0.5755,0.5520,0.5423,0.1775,0.4570,ok,0.0001,0.5723,0.0000
violation,hotpotqa,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,yes,321,4,0.4330,0.8045,0.8045,1.0000,0.6319,0.8699,0.8957,0.8829,0.8689,0.5972,0.8947,ok,0.0001,0.8868,0.0032
violation,hotpotqa,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,yes,931,4,0.9656,0.9577,0.9577,1.0000,0.8977,0.7969,0.9515,0.9513,0.9370,0.0616,0.8298,ok,0.9999,0.8960,0.9975
violation,hotpotqa,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,yes,873,4,0.9656,0.8288,0.8288,1.0000,0.8278,0.8102,0.7411,0.8174,0.8258,0.1373,0.7608,ok,0.9999,0.8337,0.9859
violation,hotpotqa,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,yes,269,4,0.1859,0.7877,0.7877,1.0000,0.5868,0.9566,0.9117,0.9614,0.9155,0.6778,0.9117,ok,0.0001,0.9449,0.0000
violation,hotpotqa,Llama-3.3-70B-Instruct,gemma-3-4b-it,yes,940,4,0.8883,0.8490,0.8490,1.0000,0.8484,0.8410,0.8445,0.8290,0.8563,0.1471,0.7836,ok,0.9999,0.8268,0.9933
violation,hotpotqa,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,no,321,4,0.4330,0.5000,0.5000,1.0000,0.6621,0.7559,0.8640,0.8737,0.7891,0.6959,,weight<0.05,,0.8846,0.0000
violation,hotpotqa,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,no,931,4,0.9656,0.5006,0.5006,1.0000,0.8648,0.6351,0.7573,0.8735,0.8836,0.1338,0.6919,ok,0.0001,0.9054,0.0000
