construct,dataset,assessor,target,capable,n,n_pool,base,V,V_anchor_S1d,V_parse_rate,S_LOTO_quantile,S_g_quantile,S_oracle_pct,S_fitted,arm0_h_rule,arm0_pct,arm1_mixture,arm1_status,arm1_cut,arm2_violation,arm2_cut
y_env,alfworld,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,no,6321,5,0.9631,0.5110,0.5110,1.0000,0.5643,0.5599,0.5499,0.5766,0.5728,0.2547,0.5524,ok,0.0001,0.5835,0.0000
y_env,alfworld,gemma-3-4b-it,Phi-4-mini-instruct,no,6445,5,0.9576,0.5057,0.5057,1.0000,0.5394,0.5297,0.5276,0.5181,0.5401,0.2015,0.5371,ok,0.0001,0.5419,0.0000
y_env,alfworld,gemma-3-4b-it,Qwen3.6-35B-A3B,no,3110,5,0.7711,0.5066,0.5066,1.0000,0.5330,0.5214,0.5328,0.5253,0.5365,0.1838,0.5131,ok,0.0001,0.5362,0.0000
y_env,alfworld,gemma-3-4b-it,deepseek-v4-flash,no,3016,5,0.8286,0.4981,0.4981,1.0000,0.5253,0.5241,0.5179,0.4797,0.5224,0.1928,0.4960,ok,0.0001,0.5189,0.0000
y_env,alfworld,gemma-3-4b-it,gemma-3-4b-it,no,6730,5,0.9725,0.4167,0.4167,1.0000,0.5114,0.5472,0.5414,0.5397,0.5303,0.2545,0.4582,ok,0.0001,0.5580,0.0000
y_env,hotpotqa,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,yes,1163,4,0.8435,0.6276,0.6276,1.0000,0.6565,0.6537,0.6548,0.7565,0.7423,0.2722,0.7167,ok,0.0001,0.6856,0.0032
y_env,hotpotqa,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,yes,2375,4,0.9865,0.8715,0.8715,1.0000,0.8655,0.7571,0.6516,0.9049,0.8772,0.1621,0.7093,ok,0.9999,0.7830,0.9975
y_env,hotpotqa,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,yes,1885,4,0.9841,0.7569,0.7569,1.0000,0.7588,0.5682,0.5766,0.7474,0.7595,0.1221,0.6837,ok,0.9999,0.7490,0.9859
y_env,hotpotqa,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,yes,1114,4,0.8034,0.5648,0.5648,1.0000,0.7335,0.7335,0.7243,0.7813,0.7883,0.4362,0.6437,ok,0.0001,0.6821,0.0000
y_env,hotpotqa,Llama-3.3-70B-Instruct,gemma-3-4b-it,yes,1658,4,0.9367,0.7546,0.7546,1.0000,0.7664,0.6027,0.6695,0.7390,0.7700,0.1513,0.6767,ok,0.9999,0.7197,0.9933
y_env,hotpotqa,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,no,1163,4,0.8435,0.5000,0.5000,1.0000,0.7578,0.7039,0.7069,0.8227,0.8175,0.2941,0.5559,ok,0.0001,0.8233,0.0000
y_env,hotpotqa,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,no,2375,4,0.9865,0.5011,0.5011,1.0000,0.8578,0.7993,0.5565,0.8379,0.8469,0.2842,0.6566,ok,0.0001,0.8655,0.0000
y_env,hotpotqa,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,no,1885,4,0.9841,0.5054,0.5054,1.0000,0.7876,0.5406,0.5258,0.7804,0.6923,0.1214,0.5944,ok,0.0001,0.7826,0.0000
y_env,hotpotqa,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,no,1114,4,0.8034,0.5000,0.5000,1.0000,0.7426,0.6576,0.7414,0.8561,0.8047,0.2723,0.5559,ok,0.0001,0.8110,0.0000
y_env,hotpotqa,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,no,1658,4,0.9367,0.5000,0.5000,1.0000,0.8658,0.7527,0.6390,0.8763,0.8515,0.3030,0.5989,ok,0.0001,0.8189,0.0000
y_env,hotpotqa,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,no,1163,4,0.8435,0.5913,0.5913,1.0000,0.7463,0.5371,0.7590,0.8073,0.6453,0.0791,0.6907,ok,0.0066,0.8172,0.0474
y_env,hotpotqa,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,no,2375,4,0.9865,0.5492,0.5492,1.0000,0.8571,0.9019,0.6832,0.8967,0.8287,0.2576,,no_boundary_between_means,,0.8511,0.0067
y_env,hotpotqa,Phi-4-mini-instruct,Phi-4-mini-instruct,no,1885,4,0.9841,0.5491,0.5491,1.0000,0.7885,0.7501,0.5427,0.7859,0.7938,0.2218,,no_boundary_between_means,,0.7590,0.0086
y_env,hotpotqa,Phi-4-mini-instruct,Qwen3.6-35B-A3B,no,1114,4,0.8034,0.5168,0.5168,1.0000,0.7049,0.5360,0.7698,0.8698,0.7738,0.1994,0.8210,ok,0.0085,0.8648,0.0180
y_env,hotpotqa,Phi-4-mini-instruct,gemma-3-4b-it,no,1658,4,0.9367,0.5489,0.5489,1.0000,0.8999,0.8367,0.7560,0.8973,0.8697,0.2503,0.7043,ok,0.1175,0.6726,0.1480
y_env,hotpotqa,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,yes,1163,4,0.8435,0.7824,0.7824,1.0000,0.7383,0.6958,0.7199,0.7906,0.7942,0.3221,0.7603,ok,0.5781,0.7936,0.3760
y_env,hotpotqa,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,yes,2375,4,0.9865,0.9227,0.9227,1.0000,0.8653,0.7275,0.6674,0.8795,0.8815,0.2160,,no_boundary_between_means,,0.8755,0.7512
y_env,hotpotqa,Qwen3.6-35B-A3B,Phi-4-mini-instruct,yes,1885,4,0.9841,0.8004,0.8004,1.0000,0.8105,0.6373,0.5427,0.7719,0.8020,0.1387,,|mu1-mu2|<0.25,,0.8155,0.7748
y_env,hotpotqa,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,yes,1114,4,0.8034,0.7020,0.7020,1.0000,0.7249,0.7628,0.7357,0.8133,0.8037,0.4388,0.7883,ok,0.0548,0.7037,0.4993
y_env,hotpotqa,Qwen3.6-35B-A3B,gemma-3-4b-it,yes,1658,4,0.9367,0.8396,0.8396,1.0000,0.8357,0.6950,0.7255,0.8401,0.8445,0.2211,,no_boundary_between_means,,0.8088,0.7046
y_env,hotpotqa,gemma-3-4b-it,Llama-3.3-70B-Instruct,no,1163,4,0.8435,0.4786,0.4786,1.0000,0.6363,0.5672,0.6255,0.6787,0.6815,0.2593,0.4776,ok,0.0001,0.6275,0.0000
y_env,hotpotqa,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,no,2375,4,0.9865,0.4368,0.4368,1.0000,0.6985,0.6641,0.6040,0.7263,0.6905,0.2802,0.4256,ok,0.0001,0.6548,0.0000
y_env,hotpotqa,gemma-3-4b-it,Phi-4-mini-instruct,no,1885,4,0.9841,0.4638,0.4638,1.0000,0.6650,0.5406,0.5427,0.6555,0.6655,0.1076,0.4714,ok,0.0001,0.6647,0.0000
y_env,hotpotqa,gemma-3-4b-it,Qwen3.6-35B-A3B,no,1114,4,0.8034,0.4999,0.4999,1.0000,0.7109,0.6141,0.7016,0.7194,0.7153,0.2561,0.5188,ok,0.0001,0.6813,0.0000
y_env,hotpotqa,gemma-3-4b-it,gemma-3-4b-it,no,1658,4,0.9367,0.4970,0.4970,1.0000,0.7315,0.7014,0.6492,0.7602,0.7453,0.2735,0.5157,ok,0.0001,0.7461,0.0000
