construct,dataset,assessor,target,capable,n,n_pool,base,V,V_anchor_S1d,V_parse_rate,S_LOTO_quantile,S_g_quantile,S_oracle_pct,S_fitted,arm0_h_rule,arm0_pct,arm1_mixture,arm1_status,arm1_cut,arm2_violation,arm2_cut
outcome,alfworld,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,no,5913,5,0.9440,0.5375,0.5375,1.0000,0.5581,0.5361,0.5376,0.5511,0.5640,0.2235,0.5510,ok,0.0001,0.5589,0.0000
outcome,alfworld,gemma-3-4b-it,Phi-4-mini-instruct,no,6024,5,0.9401,0.5291,0.5291,1.0000,0.5436,0.5143,0.5153,0.5464,0.5350,0.1281,0.5460,ok,0.0001,0.5295,0.0000
outcome,alfworld,gemma-3-4b-it,Qwen3.6-35B-A3B,no,3016,5,0.6916,0.4984,0.4984,1.0000,0.4972,0.4952,0.4909,0.4978,0.4991,0.1969,0.5018,ok,0.0001,0.4867,0.0000
outcome,alfworld,gemma-3-4b-it,deepseek-v4-flash,no,2937,5,0.7858,0.4940,0.4940,1.0000,0.4970,0.4978,0.4962,0.4678,0.4766,0.5518,0.4820,ok,0.0001,0.4877,0.0000
outcome,alfworld,gemma-3-4b-it,gemma-3-4b-it,no,6408,5,0.9558,0.3950,0.3950,1.0000,0.4417,0.4899,0.5231,0.5132,0.4384,0.4217,0.4323,ok,0.0001,0.5251,0.0000
outcome,hotpotqa,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,yes,1054,4,0.8273,0.6052,0.6052,1.0000,0.6573,0.6474,0.6480,0.7436,0.7329,0.2955,0.6945,ok,0.0001,0.6601,0.0032
outcome,hotpotqa,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,yes,2140,4,0.9850,0.8695,0.8695,1.0000,0.8700,0.7701,0.6510,0.9023,0.8689,0.1794,0.7073,ok,0.9999,0.7820,0.9975
outcome,hotpotqa,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,yes,1558,4,0.9807,0.7577,0.7577,1.0000,0.7629,0.5666,0.5752,0.7440,0.7558,0.1316,0.6856,ok,0.9999,0.7507,0.9859
outcome,hotpotqa,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,yes,1074,4,0.7961,0.5550,0.5550,1.0000,0.7451,0.7366,0.7218,0.7751,0.7885,0.3855,0.6320,ok,0.0001,0.6702,0.0000
outcome,hotpotqa,Llama-3.3-70B-Instruct,gemma-3-4b-it,yes,1281,4,0.9180,0.7404,0.7404,1.0000,0.7558,0.6081,0.6680,0.7226,0.7423,0.1643,0.6591,ok,0.9999,0.7031,0.9933
outcome,hotpotqa,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,no,1054,4,0.8273,0.5000,0.5000,1.0000,0.7627,0.6997,0.7011,0.8072,0.8147,0.3250,0.5598,ok,0.0001,0.8155,0.0000
outcome,hotpotqa,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,no,2140,4,0.9850,0.5012,0.5012,1.0000,0.8459,0.7994,0.5559,0.8417,0.8437,0.2913,0.6630,ok,0.0001,0.8708,0.0000
outcome,hotpotqa,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,no,1558,4,0.9807,0.5052,0.5052,1.0000,0.7802,0.5408,0.5412,0.7829,0.6921,0.1231,0.6024,ok,0.0001,0.7874,0.0000
outcome,hotpotqa,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,no,1074,4,0.7961,0.5000,0.5000,1.0000,0.7378,0.6647,0.7390,0.8515,0.8152,0.3060,0.5556,ok,0.0001,0.8048,0.0000
outcome,hotpotqa,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,no,1281,4,0.9180,0.5000,0.5000,1.0000,0.8604,0.7351,0.6577,0.8595,0.8465,0.3158,0.6058,ok,0.0001,0.8097,0.0000
outcome,hotpotqa,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,no,1054,4,0.8273,0.5954,0.5954,1.0000,0.7269,0.5344,0.7543,0.7944,0.6481,0.0895,0.7198,ok,0.0070,0.8128,0.0474
outcome,hotpotqa,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,no,2140,4,0.9850,0.5534,0.5534,1.0000,0.8518,0.8998,0.7303,0.9006,0.8295,0.2567,0.7074,ok,0.1302,0.8523,0.0067
outcome,hotpotqa,Phi-4-mini-instruct,Phi-4-mini-instruct,no,1558,4,0.9807,0.5530,0.5530,1.0000,0.8028,0.7653,0.5412,0.8001,0.8110,0.2230,,no_boundary_between_means,,0.7588,0.0086
outcome,hotpotqa,Phi-4-mini-instruct,Qwen3.6-35B-A3B,no,1074,4,0.7961,0.5175,0.5175,1.0000,0.7428,0.5336,0.7706,0.8668,0.8001,0.2294,0.8514,ok,0.0091,0.8615,0.0180
outcome,hotpotqa,Phi-4-mini-instruct,gemma-3-4b-it,no,1281,4,0.9180,0.5519,0.5519,1.0000,0.8762,0.8135,0.7614,0.9010,0.8775,0.2496,0.8946,ok,0.0114,0.6827,0.1480
outcome,hotpotqa,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,yes,1054,4,0.8273,0.7719,0.7719,1.0000,0.7356,0.6807,0.7144,0.7792,0.7839,0.3434,0.7482,ok,0.6134,0.7814,0.3760
outcome,hotpotqa,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,yes,2140,4,0.9850,0.9208,0.9208,1.0000,0.8470,0.7119,0.6669,0.8779,0.8705,0.2387,,no_boundary_between_means,,0.8722,0.7512
outcome,hotpotqa,Qwen3.6-35B-A3B,Phi-4-mini-instruct,yes,1558,4,0.9807,0.7943,0.7943,1.0000,0.7982,0.6016,0.5412,0.7665,0.7957,0.1533,,|mu1-mu2|<0.25,,0.8116,0.7748
outcome,hotpotqa,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,yes,1074,4,0.7961,0.6909,0.6909,1.0000,0.7315,0.7718,0.7333,0.8065,0.7879,0.4780,0.7845,ok,0.0541,0.6920,0.4993
outcome,hotpotqa,Qwen3.6-35B-A3B,gemma-3-4b-it,yes,1281,4,0.9180,0.8181,0.8181,1.0000,0.8106,0.7034,0.7199,0.8199,0.8196,0.2509,0.8181,ok,0.4920,0.7840,0.7046
outcome,hotpotqa,gemma-3-4b-it,Llama-3.3-70B-Instruct,no,1054,4,0.8273,0.4775,0.4775,1.0000,0.6344,0.5684,0.6181,0.6696,0.6706,0.2833,0.4769,ok,0.0001,0.6112,0.0000
outcome,hotpotqa,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,no,2140,4,0.9850,0.4382,0.4382,1.0000,0.6984,0.6573,0.6034,0.6731,0.6792,0.3034,0.4272,ok,0.0001,0.6547,0.0000
outcome,hotpotqa,gemma-3-4b-it,Phi-4-mini-instruct,no,1558,4,0.9807,0.4683,0.4683,1.0000,0.6548,0.5408,0.5412,0.6492,0.5908,0.0885,0.4779,ok,0.0001,0.6570,0.0000
outcome,hotpotqa,gemma-3-4b-it,Qwen3.6-35B-A3B,no,1074,4,0.7961,0.5002,0.5002,1.0000,0.7054,0.6327,0.6989,0.7135,0.7054,0.2801,0.5190,ok,0.0001,0.6731,0.0000
outcome,hotpotqa,gemma-3-4b-it,gemma-3-4b-it,no,1281,4,0.9180,0.4997,0.4997,1.0000,0.7073,0.6728,0.6473,0.7433,0.7368,0.2793,0.5218,ok,0.0001,0.7312,0.0000
