construct,dataset,assessor,target,capable,n,n_pool,base,V,V_anchor_S1d,V_parse_rate,S_LOTO_quantile,S_g_quantile,S_oracle_pct,S_fitted,arm0_h_rule,arm0_pct,arm1_mixture,arm1_status,arm1_cut,arm2_violation,arm2_cut
judgment,alfworld,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,no,5866,5,0.7712,0.4164,0.4164,1.0000,0.5097,0.5105,0.5092,0.5541,0.5542,0.0645,0.4597,ok,0.0001,0.5562,0.0000
judgment,alfworld,gemma-3-4b-it,Phi-4-mini-instruct,no,5682,5,0.8073,0.4253,0.4253,1.0000,0.5128,0.5232,0.5249,0.5398,0.5481,0.0447,0.4818,ok,0.0001,0.5534,0.0000
judgment,alfworld,gemma-3-4b-it,Qwen3.6-35B-A3B,no,2705,5,0.3453,0.4955,0.4955,1.0000,0.5806,0.5517,0.5198,0.5936,0.5966,0.2710,0.5044,ok,0.0001,0.5897,0.0000
judgment,alfworld,gemma-3-4b-it,deepseek-v4-flash,no,2981,5,0.3053,0.4875,0.4875,1.0000,0.5248,0.5173,0.4999,0.5128,0.5277,0.2506,0.4983,ok,0.0001,0.5393,0.0000
judgment,alfworld,gemma-3-4b-it,gemma-3-4b-it,no,6372,5,0.9027,0.4090,0.4090,1.0000,0.5657,0.4529,0.5926,0.5833,0.5612,0.2299,0.4694,ok,0.0001,0.5953,0.0000
judgment,hotpotqa,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,yes,1845,4,0.1648,0.7396,0.7396,1.0000,0.7842,0.7693,0.7614,0.8157,0.8206,0.7169,0.8143,ok,0.0001,0.7920,0.0032
judgment,hotpotqa,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,yes,2607,4,0.5577,0.8249,0.8249,1.0000,0.7807,0.8284,0.8274,0.8289,0.8275,0.4335,0.7718,ok,0.9999,0.8147,0.9975
judgment,hotpotqa,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,yes,2229,4,0.5608,0.8596,0.8596,1.0000,0.8171,0.8645,0.8579,0.8560,0.8606,0.4464,0.8023,ok,0.9999,0.8627,0.9859
judgment,hotpotqa,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,yes,1784,4,0.1031,0.6695,0.6695,1.0000,0.7764,0.7107,0.7179,0.8074,0.8166,0.7474,0.7795,ok,0.0001,0.8122,0.0000
judgment,hotpotqa,Llama-3.3-70B-Instruct,gemma-3-4b-it,yes,2229,4,0.4751,0.8627,0.8627,1.0000,0.8500,0.8606,0.8611,0.8615,0.8638,0.5048,0.8526,ok,0.0001,0.8549,0.9933
judgment,hotpotqa,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,no,1845,4,0.1648,0.5000,0.5000,1.0000,0.6542,0.5938,0.5802,0.6485,0.6476,0.5854,0.5402,ok,0.0001,0.6544,0.0000
judgment,hotpotqa,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,no,2607,4,0.5577,0.5016,0.5016,1.0000,0.6423,0.6358,0.6524,0.6601,0.6520,0.4419,0.6045,ok,0.0001,0.6640,0.0000
judgment,hotpotqa,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,no,2229,4,0.5608,0.5074,0.5074,1.0000,0.6499,0.5959,0.6539,0.6543,0.5937,0.1573,0.5762,ok,0.0001,0.6609,0.0000
judgment,hotpotqa,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,no,1784,4,0.1031,0.5000,0.5000,1.0000,0.6964,0.7313,0.6240,0.7193,0.7225,0.4860,0.5726,ok,0.0001,0.7396,0.0000
judgment,hotpotqa,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,no,2229,4,0.4751,0.5000,0.5000,1.0000,0.6781,0.6331,0.6704,0.6809,0.6741,0.5123,0.5812,ok,0.0001,0.6833,0.0000
judgment,hotpotqa,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,no,1845,4,0.1648,0.5697,0.5697,1.0000,0.6740,0.6569,0.5901,0.6706,0.6708,0.6471,0.6520,ok,0.0506,0.6543,0.0474
judgment,hotpotqa,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,no,2607,4,0.5577,0.5061,0.5061,1.0000,0.5316,0.5297,0.5296,0.5203,0.5186,0.7469,,no_boundary_between_means,,0.5141,0.0067
judgment,hotpotqa,Phi-4-mini-instruct,Phi-4-mini-instruct,no,2229,4,0.5608,0.5186,0.5186,1.0000,0.5457,0.5431,0.5355,0.5443,0.5484,0.5984,,no_boundary_between_means,,0.5274,0.0086
judgment,hotpotqa,Phi-4-mini-instruct,Qwen3.6-35B-A3B,no,1784,4,0.1031,0.5058,0.5058,1.0000,0.5800,0.5589,0.5240,0.5963,0.5704,0.5393,0.5787,ok,0.0103,0.6021,0.0180
judgment,hotpotqa,Phi-4-mini-instruct,gemma-3-4b-it,no,2229,4,0.4751,0.5264,0.5264,1.0000,0.5532,0.5691,0.5642,0.5751,0.5697,0.5586,,no_boundary_between_means,,0.5770,0.1480
judgment,hotpotqa,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,yes,1845,4,0.1648,0.8148,0.8148,1.0000,0.7869,0.7931,0.7535,0.8182,0.8129,0.6019,0.6635,ok,0.0497,0.8109,0.3760
judgment,hotpotqa,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,yes,2607,4,0.5577,0.7677,0.7677,1.0000,0.7651,0.8300,0.8243,0.8262,0.8256,0.4401,0.8174,ok,0.8449,0.8319,0.7512
judgment,hotpotqa,Qwen3.6-35B-A3B,Phi-4-mini-instruct,yes,2229,4,0.5608,0.8314,0.8314,1.0000,0.8133,0.8641,0.8716,0.8691,0.8721,0.4468,0.6543,ok,0.0627,0.8729,0.7748
judgment,hotpotqa,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,yes,1784,4,0.1031,0.8068,0.8068,1.0000,0.7851,0.5787,0.7361,0.8327,0.8479,0.7707,0.6819,ok,0.0233,0.8017,0.4993
judgment,hotpotqa,Qwen3.6-35B-A3B,gemma-3-4b-it,yes,2229,4,0.4751,0.8514,0.8514,1.0000,0.8609,0.8705,0.8736,0.8724,0.8761,0.4929,0.6979,ok,0.0721,0.8768,0.7046
judgment,hotpotqa,gemma-3-4b-it,Llama-3.3-70B-Instruct,no,1845,4,0.1648,0.5221,0.5221,1.0000,0.6257,0.6286,0.5960,0.6297,0.6361,0.4938,,weight<0.05,,0.6280,0.0000
judgment,hotpotqa,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,no,2607,4,0.5577,0.5080,0.5080,1.0000,0.6170,0.5934,0.6338,0.6378,0.6219,0.4702,0.5205,ok,0.0001,0.6355,0.0000
judgment,hotpotqa,gemma-3-4b-it,Phi-4-mini-instruct,no,2229,4,0.5608,0.5372,0.5372,1.0000,0.6648,0.5166,0.6703,0.6759,0.5000,0.0000,0.5535,ok,0.0001,0.6779,0.0000
judgment,hotpotqa,gemma-3-4b-it,Qwen3.6-35B-A3B,no,1784,4,0.1031,0.5032,0.5032,1.0000,0.6513,0.6759,0.6149,0.6402,0.6397,0.4682,,weight<0.05,,0.6504,0.0000
judgment,hotpotqa,gemma-3-4b-it,gemma-3-4b-it,no,2229,4,0.4751,0.5068,0.5068,1.0000,0.6836,0.6255,0.6767,0.6921,0.6737,0.5393,0.5236,ok,0.0001,0.6936,0.0000
