construct,dataset,target,open_judge,capable,n,auroc_gpt4o,auroc_open,delta,ci_lo,ci_hi
violation+judgment,hotpotqa,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,0,520,0.9253,0.5491,0.3762,0.3226,0.4313
violation+judgment,hotpotqa,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,1,520,0.9253,0.9010,0.0243,-0.0017,0.0488
violation+judgment,hotpotqa,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,0,520,0.9253,0.6863,0.2390,0.1849,0.2897
violation+judgment,hotpotqa,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,1,499,0.9318,0.9397,-0.0079,-0.0345,0.0190
violation+judgment,hotpotqa,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,0,499,0.9318,0.7365,0.1953,0.1457,0.2478
violation+judgment,hotpotqa,Phi-4-mini-instruct,Phi-4-mini-instruct,0,499,0.9318,0.5965,0.3353,0.2822,0.3895
violation+judgment,hotpotqa,Phi-4-mini-instruct,Qwen3.6-35B-A3B,1,499,0.9318,0.9493,-0.0175,-0.0427,0.0075
violation+judgment,hotpotqa,Phi-4-mini-instruct,gemma-3-4b-it,0,499,0.9318,0.7475,0.1843,0.1343,0.2370
violation+judgment,hotpotqa,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,1,346,0.9150,0.8887,0.0220,-0.0100,0.0573
violation+judgment,hotpotqa,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,0,346,0.9150,0.8086,0.1022,0.0543,0.1526
violation+judgment,hotpotqa,Qwen3.6-35B-A3B,Phi-4-mini-instruct,0,346,0.9150,0.6172,0.2936,0.2363,0.3549
violation+judgment,hotpotqa,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,1,346,0.9150,0.9310,-0.0203,-0.0476,0.0044
violation+judgment,hotpotqa,Qwen3.6-35B-A3B,gemma-3-4b-it,0,346,0.9150,0.7429,0.1678,0.1115,0.2258
violation+judgment,hotpotqa,gemma-3-4b-it,Llama-3.3-70B-Instruct,1,492,0.9529,0.9290,0.0239,0.0008,0.0489
violation+judgment,hotpotqa,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,0,492,0.9529,0.6711,0.2818,0.2292,0.3343
violation+judgment,hotpotqa,gemma-3-4b-it,Phi-4-mini-instruct,0,492,0.9529,0.5640,0.3889,0.3336,0.4456
violation+judgment,hotpotqa,gemma-3-4b-it,Qwen3.6-35B-A3B,1,492,0.9529,0.9415,0.0113,-0.0101,0.0337
violation+judgment,hotpotqa,gemma-3-4b-it,gemma-3-4b-it,0,492,0.9529,0.7201,0.2328,0.1865,0.2867
judgment,alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,1,515,0.9032,0.8620,0.0412,0.0093,0.0743
judgment,alfworld,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,0,515,0.9032,0.6795,0.2237,0.1708,0.2753
judgment,alfworld,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,0,515,0.9032,0.5796,0.3236,0.2718,0.3774
judgment,alfworld,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,1,515,0.9032,0.9230,-0.0198,-0.0494,0.0095
judgment,alfworld,Llama-3.3-70B-Instruct,gemma-3-4b-it,0,515,0.9032,0.4805,0.4227,0.3677,0.4756
judgment,alfworld,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,1,502,0.8108,0.8424,-0.0316,-0.0637,0.0001
judgment,alfworld,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,0,502,0.8108,0.6295,0.1813,0.1241,0.2372
judgment,alfworld,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,0,502,0.8108,0.4210,0.3897,0.3346,0.4526
judgment,alfworld,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,1,502,0.8108,0.8954,-0.0847,-0.1179,-0.0525
judgment,alfworld,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,0,502,0.8108,0.3886,0.4222,0.3574,0.4860
judgment,alfworld,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,1,519,0.7607,0.8386,-0.0779,-0.1157,-0.0412
judgment,alfworld,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,0,519,0.7607,0.5953,0.1655,0.0981,0.2299
judgment,alfworld,Phi-4-mini-instruct,Phi-4-mini-instruct,0,519,0.7607,0.4249,0.3358,0.2764,0.3951
judgment,alfworld,Phi-4-mini-instruct,Qwen3.6-35B-A3B,1,519,0.7607,0.8735,-0.1127,-0.1456,-0.0788
judgment,alfworld,Phi-4-mini-instruct,gemma-3-4b-it,0,519,0.7607,0.3940,0.3667,0.3127,0.4180
