construct,dataset,target,open_judge,capable,n,auroc_gpt4o,auroc_open,delta,ci_lo,ci_hi
outcome,alfworld,deepseek-v4-flash,Mistral-7B-Instruct-v0.3,0,446,0.5993,0.6574,-0.0581,-0.1352,0.0212
outcome,alfworld,deepseek-v4-flash,Phi-4-mini-instruct,0,446,0.5993,0.5697,0.0296,-0.0586,0.1119
outcome,alfworld,deepseek-v4-flash,Qwen3.6-35B-A3B,1,446,0.5993,0.6693,-0.0699,-0.1207,-0.0206
outcome,alfworld,deepseek-v4-flash,deepseek-v4-flash,0,310,0.5993,0.6715,-0.1008,-0.1753,-0.0300
outcome,alfworld,deepseek-v4-flash,gemma-3-4b-it,0,446,0.5993,0.4296,0.1697,0.0820,0.2618
outcome,alfworld,gemma-3-4b-it,Llama-3.3-70B-Instruct,1,478,0.5509,0.5552,-0.0044,-0.0615,0.0569
outcome,alfworld,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,0,478,0.5509,0.6603,-0.1094,-0.1976,-0.0278
outcome,alfworld,gemma-3-4b-it,Phi-4-mini-instruct,0,478,0.5509,0.5615,-0.0107,-0.1150,0.0827
outcome,alfworld,gemma-3-4b-it,Qwen3.6-35B-A3B,1,478,0.5509,0.5911,-0.0403,-0.1076,0.0236
outcome,alfworld,gemma-3-4b-it,gemma-3-4b-it,0,478,0.5509,0.4415,0.1094,0.0201,0.1958
outcome,hotpotqa,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,1,181,0.7398,0.8856,-0.1459,-0.2582,-0.0426
outcome,hotpotqa,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,0,181,0.7398,0.9025,-0.1628,-0.2834,-0.0533
outcome,hotpotqa,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,0,181,0.7398,0.8470,-0.1072,-0.2219,0.0092
outcome,hotpotqa,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,1,181,0.7398,0.9276,-0.1878,-0.2912,-0.0982
outcome,hotpotqa,Llama-3.3-70B-Instruct,gemma-3-4b-it,0,181,0.7398,0.7284,0.0114,-0.1941,0.2171
outcome,hotpotqa,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,1,359,0.8193,0.9202,-0.1008,-0.1648,-0.0496
outcome,hotpotqa,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,0,359,0.8193,0.9692,-0.1499,-0.2753,-0.0404
outcome,hotpotqa,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,0,359,0.8193,0.8557,-0.0364,-0.0961,0.0416
outcome,hotpotqa,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,1,359,0.8193,0.9762,-0.1569,-0.2862,-0.0448
outcome,hotpotqa,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,0,359,0.8193,0.5000,0.3193,-0.0841,0.7348
outcome,hotpotqa,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,1,303,0.9295,0.9591,-0.0295,-0.0658,0.0033
outcome,hotpotqa,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,0,303,0.9295,0.8987,0.0309,-0.0399,0.1097
outcome,hotpotqa,Phi-4-mini-instruct,Phi-4-mini-instruct,0,303,0.9295,0.8973,0.0322,-0.0499,0.1682
outcome,hotpotqa,Phi-4-mini-instruct,Qwen3.6-35B-A3B,1,303,0.9295,0.9671,-0.0376,-0.0820,0.0096
outcome,hotpotqa,Phi-4-mini-instruct,gemma-3-4b-it,0,303,0.9295,0.6893,0.2403,-0.0366,0.6025
outcome,hotpotqa,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,1,181,0.7614,0.9143,-0.1529,-0.2363,-0.0609
outcome,hotpotqa,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,0,181,0.7614,0.9536,-0.1921,-0.2704,-0.1207
outcome,hotpotqa,Qwen3.6-35B-A3B,Phi-4-mini-instruct,0,181,0.7614,0.9597,-0.1982,-0.2852,-0.1178
outcome,hotpotqa,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,1,181,0.7614,0.9185,-0.1571,-0.2438,-0.0648
outcome,hotpotqa,Qwen3.6-35B-A3B,gemma-3-4b-it,0,181,0.7614,0.7980,-0.0366,-0.1401,0.0725
outcome,hotpotqa,gemma-3-4b-it,Llama-3.3-70B-Instruct,1,281,0.8895,0.8307,0.0588,-0.0391,0.1883
outcome,hotpotqa,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,0,281,0.8895,0.9227,-0.0332,-0.0818,0.0160
outcome,hotpotqa,gemma-3-4b-it,Phi-4-mini-instruct,0,281,0.8895,0.9452,-0.0557,-0.1118,0.0048
outcome,hotpotqa,gemma-3-4b-it,Qwen3.6-35B-A3B,1,281,0.8895,0.9528,-0.0633,-0.1060,-0.0222
outcome,hotpotqa,gemma-3-4b-it,gemma-3-4b-it,0,281,0.8895,0.7291,0.1604,0.0472,0.2861
y_env,alfworld,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,1,496,0.6431,0.6784,-0.0353,-0.0996,0.0313
y_env,alfworld,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,0,496,0.6431,0.6586,-0.0155,-0.1007,0.0721
y_env,alfworld,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,0,496,0.6431,0.5757,0.0674,-0.0187,0.1584
y_env,alfworld,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,1,496,0.6431,0.6546,-0.0115,-0.0706,0.0489
y_env,alfworld,Llama-3.3-70B-Instruct,gemma-3-4b-it,0,496,0.6431,0.5263,0.1168,0.0221,0.2101
y_env,alfworld,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,1,495,0.7176,0.7252,-0.0076,-0.0753,0.0526
y_env,alfworld,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,0,495,0.7176,0.6254,0.0922,-0.0217,0.2057
y_env,alfworld,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,0,495,0.7176,0.5376,0.1800,0.0388,0.3118
y_env,alfworld,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,1,495,0.7176,0.7504,-0.0328,-0.0973,0.0344
y_env,alfworld,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,0,495,0.7176,0.4443,0.2733,0.1659,0.3830
y_env,alfworld,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,1,509,0.5245,0.6534,-0.1289,-0.2030,-0.0482
y_env,alfworld,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,0,509,0.5245,0.6877,-0.1632,-0.2887,-0.0347
y_env,alfworld,Phi-4-mini-instruct,Phi-4-mini-instruct,0,509,0.5245,0.5739,-0.0494,-0.1454,0.0459
y_env,alfworld,Phi-4-mini-instruct,Qwen3.6-35B-A3B,1,509,0.5245,0.6028,-0.0783,-0.1665,0.0151
y_env,alfworld,Phi-4-mini-instruct,gemma-3-4b-it,0,509,0.5245,0.5562,-0.0317,-0.1186,0.0589
y_env,alfworld,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,1,458,0.6835,0.6458,0.0355,-0.0100,0.0818
y_env,alfworld,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,0,458,0.6835,0.6485,0.0328,-0.0327,0.0972
y_env,alfworld,Qwen3.6-35B-A3B,Phi-4-mini-instruct,0,458,0.6835,0.5848,0.0965,0.0138,0.1749
y_env,alfworld,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,1,458,0.6835,0.6887,-0.0073,-0.0589,0.0428
y_env,alfworld,Qwen3.6-35B-A3B,gemma-3-4b-it,0,458,0.6835,0.5427,0.1387,0.0517,0.2333
y_env,alfworld,deepseek-v4-flash,Llama-3.3-70B-Instruct,1,464,0.6937,0.7742,-0.0805,-0.1390,-0.0214
y_env,alfworld,deepseek-v4-flash,Mistral-7B-Instruct-v0.3,0,464,0.6937,0.6865,0.0071,-0.0845,0.1000
y_env,alfworld,deepseek-v4-flash,Phi-4-mini-instruct,0,464,0.6937,0.6179,0.0758,-0.0248,0.1749
y_env,alfworld,deepseek-v4-flash,Qwen3.6-35B-A3B,1,464,0.6937,0.7578,-0.0641,-0.1214,0.0048
y_env,alfworld,deepseek-v4-flash,deepseek-v4-flash,0,325,0.6937,0.7092,-0.0315,-0.1121,0.0530
y_env,alfworld,deepseek-v4-flash,gemma-3-4b-it,0,464,0.6937,0.4684,0.2253,0.1277,0.3232
y_env,alfworld,gemma-3-4b-it,Llama-3.3-70B-Instruct,1,489,0.5484,0.5659,-0.0175,-0.0725,0.0365
y_env,alfworld,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,0,489,0.5484,0.6628,-0.1144,-0.1994,-0.0281
y_env,alfworld,gemma-3-4b-it,Phi-4-mini-instruct,0,489,0.5484,0.5536,-0.0052,-0.1087,0.0934
y_env,alfworld,gemma-3-4b-it,Qwen3.6-35B-A3B,1,489,0.5484,0.5910,-0.0426,-0.1091,0.0227
y_env,alfworld,gemma-3-4b-it,gemma-3-4b-it,0,489,0.5484,0.4375,0.1109,0.0213,0.2020
y_env,hotpotqa,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,1,270,0.7540,0.9172,-0.1631,-0.2761,-0.0600
y_env,hotpotqa,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,0,270,0.7540,0.9209,-0.1669,-0.2835,-0.0600
y_env,hotpotqa,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,0,270,0.7540,0.8541,-0.1000,-0.2209,0.0115
y_env,hotpotqa,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,1,270,0.7540,0.9453,-0.1912,-0.2987,-0.1002
y_env,hotpotqa,Llama-3.3-70B-Instruct,gemma-3-4b-it,0,270,0.7540,0.7595,-0.0055,-0.1958,0.1983
y_env,hotpotqa,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,1,399,0.8287,0.9207,-0.0919,-0.1496,-0.0423
y_env,hotpotqa,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,0,399,0.8287,0.9647,-0.1360,-0.2524,-0.0307
y_env,hotpotqa,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,0,399,0.8287,0.8375,-0.0088,-0.0821,0.0868
y_env,hotpotqa,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,1,399,0.8287,0.9786,-0.1499,-0.2726,-0.0383
y_env,hotpotqa,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,0,399,0.8287,0.4987,0.3300,-0.0721,0.7463
y_env,hotpotqa,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,1,360,0.9392,0.9561,-0.0169,-0.0508,0.0208
y_env,hotpotqa,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,0,360,0.9392,0.8913,0.0479,-0.0275,0.1378
y_env,hotpotqa,Phi-4-mini-instruct,Phi-4-mini-instruct,0,360,0.9392,0.8907,0.0485,-0.0406,0.2212
y_env,hotpotqa,Phi-4-mini-instruct,Qwen3.6-35B-A3B,1,360,0.9392,0.9718,-0.0327,-0.0731,0.0077
y_env,hotpotqa,Phi-4-mini-instruct,gemma-3-4b-it,0,360,0.9392,0.6839,0.2552,-0.0418,0.6092
y_env,hotpotqa,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,1,219,0.8193,0.9259,-0.1174,-0.1926,-0.0321
y_env,hotpotqa,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,0,219,0.8193,0.9605,-0.1520,-0.2229,-0.0902
y_env,hotpotqa,Qwen3.6-35B-A3B,Phi-4-mini-instruct,0,219,0.8193,0.9613,-0.1528,-0.2266,-0.0859
y_env,hotpotqa,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,1,219,0.8193,0.9323,-0.1238,-0.2032,-0.0411
y_env,hotpotqa,Qwen3.6-35B-A3B,gemma-3-4b-it,0,219,0.8193,0.8175,-0.0090,-0.1000,0.0890
y_env,hotpotqa,gemma-3-4b-it,Llama-3.3-70B-Instruct,1,351,0.9086,0.8404,0.0682,-0.0337,0.1988
y_env,hotpotqa,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,0,351,0.9086,0.9304,-0.0218,-0.0612,0.0190
y_env,hotpotqa,gemma-3-4b-it,Phi-4-mini-instruct,0,351,0.9086,0.9466,-0.0380,-0.0920,0.0241
y_env,hotpotqa,gemma-3-4b-it,Qwen3.6-35B-A3B,1,351,0.9086,0.9598,-0.0513,-0.0882,-0.0160
y_env,hotpotqa,gemma-3-4b-it,gemma-3-4b-it,0,351,0.9086,0.7342,0.1744,0.0601,0.2996
